name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAGoal,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,totalContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,challengeLost,dispossessed,shotOffTarget,blockedScoringAttempt,totalClearance,outfielderBlock,fouls,expectedGoals,onTargetScoringAttempt,goals,wasFouled,penaltyWon,expectedGoalsOnTarget,aerialLost,wonContest,bigChanceCreated,keyPass,goalAssist,accurateCross,totalOffside,bigChanceMissed,goodHighClaim,penaltyFaced,lastManTackle,penaltyConceded
Ben Brereton Díaz,,,ben-brereton-diaz,B. Brereton Díaz,M,25,188.0,6193,M,ben.brereton,867583,"{'alpha2': 'CL', 'alpha3': 'CHL', 'name': 'Chile', 'slug': 'chile'}",EUR,924393600,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن بريريتون دياز', 'hi': 'बेन ब्रेरेटन डियाज़', 'bn': 'বেন ব্রেরেটন দিয়াজ'}, 'shortNameTranslation': {'ar': 'ب. بريريتون دياز', 'hi': 'बी. ब्रेरेटन डियाज़', 'bn': 'বি. ব্রেরেটন দিয়াজ'}}",22.0,13.0,,,4.0,7.0,9.0,15.0,3.0,,,,,,90.0,39.0,7.0,15.0,0.00906622,"{'original': 7, 'alternative': 7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,9.0,2.0,3.0,,2.0,,1.0,1.0,2.0,,2.0,4.0,,,0.4147,2.0,1.0,,,0.8047,3.0,,,,,,2.0,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187.0,1676,M,,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",21.0,20.0,2.0,1.0,10.0,10.0,10.0,11.0,3.0,,,,,,45.0,30.0,6.7,2.0,0.00753891,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,4.0,5.0,3.0,,1.0,1.0,,2.0,,,,1.0,1.0,1.0,0.0334,1.0,,1.0,,0.586,,2.0,,,,,,,,,,
James McAtee,,,james-mcatee,J. McAtee,M,24,180.0,10990,M,jamesmcatee_,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",3.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,,25.0,6.0,6.4,,8.311e-05,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
Oliver Norwood,,,oliver-norwood,O. Norwood,M,26,180.0,225,M,,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",16.0,10.0,5.0,2.0,7.0,8.0,3.0,8.0,,,,,,,12.0,19.0,6.2,7.0,0.00267278,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,
William Osula,,,osula-william,W. Osula,F,18,191.0,2921,M,,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",1.0,1.0,,,,,1.0,1.0,,,,,,,13.0,3.0,6.4,1.0,0.00095182,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195.0,1148,M,,283847,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,821923200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفو غريبيتش', 'hi': 'इवो ग्रबिक', 'bn': 'আইভো গ্রবিক'}, 'shortNameTranslation': {'ar': 'إ. غريبيتش', 'hi': 'आई. ग्रबिक', 'bn': 'আই. গ্রবিক'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Curtis,Sam,Curtis,curtis-sam,S. Curtis,D,29,185.0,191,M,,1133697,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1133395200,"{'value': 170000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورتيس، سام'}, 'shortNameTranslation': {'ar': 'س. كورتيس'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasser Larouci,Yasser,Larouci,larouci-yasser,Y. Larouci,D,76,175.0,3783,M,larouci.yasseroff,927360,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,978307200,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لعروسي، ياسر', 'hi': 'लारौसी, यासर', 'bn': 'লারুচি, ইয়াসির'}, 'shortNameTranslation': {'ar': 'ي. لعروسي', 'hi': 'वाई. लारौसी', 'bn': 'ওয়াই. লারুচি'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owen Hampson,,,owen-hampson,O. Hampson,M,35,,36,M,,1467402,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,1100649600,"{'value': 54000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوين هامبسون'}, 'shortNameTranslation': {'ar': 'أ. هامبسون'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anis Ben Slimane,,,anis-ben-slimane,A. B. Slimane,M,20,188.0,2213,M,,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
