name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,lastName,sofascoreId
Jayden Bogle,,bogle-jayden,J. Bogle,D,2,740,M,929132,"{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",39.115384615385,15.387179487179,39,home,,
Vinícius Souza,,vinicius-souza,Vinicius,M,5,1676,M,979290,"{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",34.704255319149,46.082978723404,47,home,,
Wesley Foderingham,,wesley-foderingham,W. Foderingham,G,25,337,M,187861,"{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",9.8577777777778,52.795555555556,45,home,,
Oliver Arblaster,Oliver Arblaster,oliver-arblaster,O. Arblaster,M,4,223,M,1191153,"{'nameTranslation': {'ar': 'أوليفر أربيلاستر'}, 'shortNameTranslation': {'ar': 'أ. أربيلاستر'}}",44.585185185185,55.662962962963,27,home,,
Gustavo Hamer,,gustavo-hamer,G. Hamer,M,8,1022,M,837495,"{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",57.914285714286,60.582857142857,35,home,,
Auston Trusty,,auston-trusty,A. Trusty,D,6,820,M,822459,"{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",31.179591836735,71.714285714286,49,home,,
Mikey Moore,,mikey-moore,M. Moore,F,47,3938,M,1403192,"{'nameTranslation': {'ar': 'مايكي مور', 'hi': 'मिकी मूर', 'bn': 'মাইকি মুর'}, 'shortNameTranslation': {'ar': 'م. مور', 'hi': 'एम. मूर', 'bn': 'এম. মুর'}}",69.742857142857,76.928571428571,7,away,,
Oliver Skipp,,skipp-oliver,O. Skipp,M,22,1368,M,859901,"{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",55.72,26.94,15,away,,
Emerson Royal,,emerson-royal,E. Royal,D,22,9716,M,856123,"{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",49.391666666667,33.7375,24,away,,emerson_royal
Dane Scarlett,,scarlett-dane,D. Scarlett,F,44,2195,M,998772,"{'nameTranslation': {'ar': 'سكارليت، دين', 'hi': 'स्कारलेट, डेन', 'bn': 'স্কারলেট, ডেন'}, 'shortNameTranslation': {'ar': 'د. سكارليت', 'hi': 'डी. स्कारलेट', 'bn': 'ডি. স্কারলেট'}}",63.975,53.975,4,away,,
