name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,aerialLost,duelLost,duelWon,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,fouls,keyPass,aerialWon,shotOffTarget,outfielderBlock,interceptionWon,expectedGoals,totalCross,wasFouled,totalContest,wonContest,dispossessed,accurateCross,firstName,lastName,blockedScoringAttempt,totalOffside,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceCreated,bigChanceMissed,goalAssist,goals,penaltyWon
Gabriel Jesus,gabriel-jesus,G. Jesus,F,9,175,76694,M,794839,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,860025600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}",22.0,18.0,,,5.0,6.0,13.0,17.0,,1.0,,,,,,,64.0,43.0,6.9,14.0,0.0589881,"{'original': 6.9, 'alternative': 6.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,GabrielJesus,1.0,9.0,4.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,,,0.4434,1.0,1.0,6.0,1.0,3.0,,,,1.0,,1.0,0.3654,,1.0,,,1.0
Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31309,M,135666,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,786499200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندرو تروسارد', 'hi': 'लिएंड्रो ट्रोसार्ड', 'bn': 'লিয়েন্দ্রো ট্রসার্ড'}, 'shortNameTranslation': {'ar': 'ل. تروسارد', 'hi': 'एल. ट्रोसार्ड', 'bn': 'এল. ট্রসার্ড'}}",5.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,,1.0,,,,,,,26.0,14.0,7.5,5.0,0.0004915,"{'original': 7.5, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,leandrotrossard,,1.0,2.0,,,,2.0,,,1.0,,,,,0.355,,1.0,1.0,1.0,1.0,,,,,,2.0,0.8986,,,,1.0,
Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180,71135,M,922573,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,992822400,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}",5.0,4.0,1.0,,2.0,2.0,2.0,3.0,,1.0,,,,,,,26.0,15.0,7.0,2.0,0.242753,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,GabiMartinelli,,2.0,4.0,1.0,3.0,3.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Takehiro Tomiyasu,tomiyasu-takehiro,T. Tomiyasu,D,,188,10832,M,804434,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,910224000,"{'value': 12900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تومياسو، تاكيهيرو', 'hi': 'तोमियासू, ताकेहीरो', 'bn': 'তোমিয়াসু, তাকেহিরো'}, 'shortNameTranslation': {'ar': 'ت. تومياسو', 'hi': 'टी. ताकेहीरो', 'bn': 'টি. তোমিয়াসু'}}",3.0,2.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,18.0,6.0,6.6,1.0,0.00045735,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,tomiyasu_t,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Fábio Vieira,fabio-vieira,F. Vieira,M,20,170,6737,M,904835,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,959644800,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيو فييرا', 'hi': 'फैबियो विएरा', 'bn': 'ফ্যাবিও ভিয়েরা'}, 'shortNameTranslation': {'ar': 'ف. فييرا', 'hi': 'एफ. विएरा', 'bn': 'এফ. ভিয়েরা'}}",3.0,2.0,,,1.0,1.0,1.0,2.0,,2.0,,,,,,,1.0,3.0,,1.0,0.00962222,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,fabiodfvieira,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Edward Nketiah,edward-nketiah,E. Nketiah,F,9,175,6808,M,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",1.0,,,,,,,1.0,1.0,,,,,,,,1.0,3.0,,1.0,,,1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,EN9,1.0,1.0,,,,,,,,,,1.0,,,0.1028,,,,,,,,,,,,,,,,,
Aaron Ramsdale,aaron-ramsdale,A. Ramsdale,G,32,191,8776,M,839410,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,895104000,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسديل', 'hi': 'आरोन रामस्डेल', 'bn': 'অ্যারন রামসডেল'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'hi': 'ए. रामस्डेल', 'bn': 'এ. রামসডেল'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,ARamsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15251,M,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,j_kiwior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emile Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,182,7637,M,867445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964742400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيميل سميث رو', 'hi': 'एमिल स्मिथ रोवे', 'bn': 'এমিল স্মিথ রো'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'hi': 'ई. स्मिथ', 'bn': 'ই. স্মিথ রো'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,esr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Partey,thomas-partey,T. Partey,M,16,185,46092,M,316148,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,739929600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس بارتي', 'hi': 'थॉमस पार्टी', 'bn': 'টমাস পার্টি'}, 'shortNameTranslation': {'ar': 'ت. بارتي', 'hi': 'टी. पार्टी', 'bn': 'টি. পার্টি'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,TPartey5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
