name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,errorLeadToAGoal,ownGoals,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,keyPass,wonContest,firstName,lastName,dispossessed,shotOffTarget,bigChanceMissed,bigChanceCreated,sofascoreId,totalOffside,onTargetScoringAttempt,expectedGoalsOnTarget,goals
Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185,4472,M,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",29.0,20.0,1.0,1.0,11.0,16.0,9.0,13.0,1.0,4.0,1.0,1.0,,,,,,,,77.0,39.0,6.9,12.0,0.0471779,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,3.0,,,,,2.0,,,2.0,3.0,,,3.0,,,,1.0,,,,,2.0,,,
Igor Júlio,igor-julio,I. Júlio,D,5,185,1286,M,842513,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,886809600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور جوليو', 'hi': 'इगोर जूलियो', 'bn': 'ইগর জুলিও'}, 'shortNameTranslation': {'ar': 'إ. جوليو', 'hi': 'आई. जूलियो', 'bn': 'আই. জুলিও'}}",33.0,30.0,2.0,2.0,18.0,21.0,12.0,12.0,2.0,3.0,4.0,3.0,,,,,,,,77.0,47.0,7.0,5.0,0.0123921,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,2.0,,2.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",20.0,16.0,,,5.0,6.0,11.0,15.0,,,,1.0,,,,,,,,13.0,23.0,6.6,7.0,0.0498122,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,2.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174,18331,M,1117025,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1103760000,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'hi': 'फ़ाकंडो बुओनानोट्टे', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'hi': 'एफ. बुओनानोट्टे', 'bn': 'এফ. বুওনানোট'}}",11.0,9.0,,,2.0,2.0,7.0,9.0,,,,1.0,,,,,,,,13.0,17.0,6.3,6.0,0.0544144,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,3.0,,1.0,,,1.0,,,2.0,,,,,,Facundo Buonanotte,,1.0,,,,facubuonanotte_,,,,
Ansu Fati,ansu-fati,A. Fati,F,31,178,177605,M,962883,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1036022400,"{'value': 10400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",9.0,9.0,,,1.0,1.0,8.0,8.0,,,,1.0,,,,,,,,13.0,17.0,6.5,4.0,0.0368516,"{'original': 6.5, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,3.0,,2.0,1.0,,,,,1.0,,,0.0993,,,,,1.0,,,,AnsuFati,1.0,1.0,0.0289,
Mark O'Mahony,omahony-mark,M. O'Mahony,F,20,182,328,M,1149855,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1105660800,"{'value': 425000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوماهوني، مارك', 'hi': ""ओ'महोनी, मार्क"", 'bn': ""ও'মাহনি, মার্ক""}, 'shortNameTranslation': {'ar': 'م. أوماهوني', 'hi': ""एम. ओ'महोनी"", 'bn': ""এম. ও'মাহনি""}}",2.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,9.0,3.0,6.4,,1.756e-05,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odeluga Offiah,odeluga-offiah,O. Offiah,D,42,187,114,M,1069627,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1035590400,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديلوجا أوفيه', 'hi': 'ओडेलुगा ओफियाह', 'bn': 'ওডেলুগা অফিয়াহ'}, 'shortNameTranslation': {'ar': 'أ. أوفيه', 'hi': 'ओ. ऑफियाह', 'bn': 'ও. অফিয়াহ'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,Odeluga Offiah,,,,,,,,,,
Cameron Peupion,cameron-peupion,C. Peupion,M,21,175,199,M,1002331,"{'alpha2': 'AU', 'alpha3': 'AUS', 'name': 'Australia', 'slug': 'australia'}",EUR,1032739200,"{'value': 290000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون بيوبيون', 'hi': 'कैमरून पेउपियन', 'bn': 'ক্যামেরন পিউপিয়ন'}, 'shortNameTranslation': {'ar': 'ك. بيوبيون', 'hi': 'सी. पेउपियन', 'bn': 'সি. পিউপিয়ন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentín Barco,valentin-barco,V. Barco,M,8,172,10685,M,1127057,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1090540800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتين باركو', 'hi': 'वैलेन्टिन बार्को', 'bn': 'ভ্যালেন্টিন বারকো'}, 'shortNameTranslation': {'ar': 'ف. باركو', 'hi': 'वी. बारको', 'bn': 'ভি. বারকো'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,Valentín Barco,,,,,,colo.barco,,,,
