name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,aerialWon,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,expectedGoals,expectedGoalsOnTarget,aerialLost,duelLost,dispossessed,totalContest,wonContest,shotOffTarget,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,sofascoreId,bigChanceMissed,hitWoodwork,challengeLost,totalCross,accurateCross,keyPass,bigChanceCreated,totalOffside,punches,totalKeeperSweeper,accurateKeeperSweeper,goals,goalAssist,goodHighClaim
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,228751,M,944656,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,949276800,"{'value': 97000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوليان ألفاريز', 'hi': 'जूलियन अल्वारेज़', 'bn': 'জুলিয়ান আলভারেজ'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जे. अल्वारेज़', 'bn': 'জে. আলভারেজ'}}",39.0,35.0,,,10.0,12.0,25.0,28.0,1.0,2.0,,,,89.0,49.0,6.8,10.0,0.0366345,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,0.1261,,1.0,5.0,1.0,1.0,,1.0,,1.0,1.0,3.0,,LaAraña,,,2.0,1.0,,2.0,,,,,,,,
Stefan Ortega,stefan-ortega,S. Ortega,G,18,186,10750,M,125274,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,721008000,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ستيفان أورتيغا', 'hi': 'स्टीफन ऑर्टेगा', 'bn': 'স্টেফান ওর্তেগা'}, 'shortNameTranslation': {'ar': 'س. أورتيغا', 'hi': 'एस. ऑर्टेगा', 'bn': 'এস. ওর্তেগা'}}",25.0,20.0,8.0,3.0,18.0,21.0,2.0,4.0,,5.0,,,1.0,45.0,28.0,6.9,5.0,0.0006673,"{'original': 6.9, 'alternative': 6.9}",0,0.5613,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,stefan.ortega1,,,,,,,,,,1.0,1.0,,,1.0
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,34246,M,136710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,768182400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاسيتش', 'hi': 'माटेओ कोवासिक', 'bn': 'মাতেও কোভাসিক'}, 'shortNameTranslation': {'ar': 'م. كوفاسيتش', 'hi': 'एम. कोवासिक', 'bn': 'এম. কোভাসিচ'}}",60.0,58.0,,,18.0,19.0,40.0,41.0,4.0,1.0,,,,45.0,68.0,7.2,2.0,0.0222993,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,2.0,,,,,,,1.0,1.0,,,3.0,2.0,,,Kova8,,,,,,,,,,,,,,
Erling Haaland,erling-haaland,E. Haaland,F,9,194,807088,M,839956,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,964137600,"{'value': 218000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيرلينغ هالاند', 'hi': 'एर्लिंग हालैंड', 'bn': 'এরলিং হালান্ড'}, 'shortNameTranslation': {'ar': 'إ. هالاند', 'hi': 'ई. हालैंड', 'bn': 'ই. হালান্ড'}}",12.0,11.0,,,1.0,2.0,10.0,10.0,2.0,2.0,,,,28.0,18.0,7.3,3.0,0.035919,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,2.0,,,,0.4247,0.9714,,2.0,,3.0,1.0,,,,,,,EHaaland,,,,,,,,,,,,1.0,,
Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,18816,M,945122,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,904176000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس نونيز', 'hi': 'मैथियस नून्स', 'bn': 'ম্যাথিউস নুনেস'}, 'shortNameTranslation': {'ar': 'م. نونيز', 'hi': 'एम. नून्स', 'bn': 'এম. নুনেস'}}",1.0,,,,,,,1.0,1.0,,1.0,,,1.0,3.0,,2.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,matheusnunes,,,,,,,,,,,,,,
Oscar Bobb,oscar-bobb,O. Bobb,M,52,174,17188,M,1065216,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,1057968000,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسكار بوب', 'hi': 'ऑस्कर बॉब', 'bn': 'অস্কার বব'}, 'shortNameTranslation': {'ar': 'أ. بوب', 'hi': 'ओ. बॉब', 'bn': 'ও. বব'}}",3.0,3.0,,,,,3.0,3.0,1.0,1.0,,,,1.0,6.0,,1.0,0.0414754,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Oscar Bobb,,,,,,,,,,1.0,1.0,,,,,1.0,,,,oscarbobb,,,,,,1.0,,,,,,,,
Scott Carson,scott-carson,S. Carson,G,,188,5491,M,716,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,494553600,,"{'nameTranslation': {'ar': 'سكوت كارسون', 'hi': 'स्कॉट कार्सन', 'bn': 'স্কট কারসন'}, 'shortNameTranslation': {'ar': 'س. كارسون', 'hi': 'एस. कार्सन', 'bn': 'এস. কারসন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,scottpcarson33,,,,,,,,,,,,,,
Rico Lewis,rico-lewis,R. Lewis,D,82,170,17414,M,1136731,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1100995200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريكو لويس', 'hi': 'रिको लुईस', 'bn': 'রিকো লুইস'}, 'shortNameTranslation': {'ar': 'ر. لويس', 'hi': 'आर. लुईस', 'bn': 'আর. লুইস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Rico Lewis,,,,,,,,,,,,,,,,,,,,Rico_Lewis,,,,,,,,,,,,,,
John Stones,john-stones,J. Stones,D,5,188,22451,M,152077,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,770083200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'hi': 'जॉन स्टोन्स', 'bn': 'জন স্টোনস'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'hi': 'जे. स्टोन्स', 'bn': 'জে. স্টোনস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,johnstones5,,,,,,,,,,,,,,
Sergio Gómez,sergio-gomez,S. Gómez,M,17,171,4599,M,855835,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,968025600,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو غوميز', 'hi': 'सर्जियो गोमेज़', 'bn': 'সার্জিও গোমেজ'}, 'shortNameTranslation': {'ar': 'س. غوميز', 'hi': 'एस. गोमेज़', 'bn': 'এস. গোমেজ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,sergiogm_10,,,,,,,,,,,,,,
