season,date,home_team,away_team,home_score,away_score,result,odds_1,odds_x,odds_2
2024-2025,2025-04-26,ETO FC,Paksi FC,2.0,0.0,H,2.56,3.59,2.49
2024-2025,2025-04-26,Puskás Akadémia FC,Fehérvár FC,3.0,1.0,H,1.54,4.0,5.67
2024-2025,2025-04-25,Nyíregyháza Spartacus,Debreceni VSC,1.0,0.0,H,3.78,3.33,1.97
2024-2025,2025-04-21,Kecskeméti TE,Újpest FC,0.0,0.0,D,2.44,3.19,2.89
2024-2025,2025-04-20,Ferencvárosi TC,Nyíregyháza Spartacus,7.0,0.0,H,1.26,5.65,10.11
2024-2025,2025-04-20,Fehérvár FC,MTK Budapest,1.0,1.0,D,2.46,3.48,2.66
2024-2025,2025-04-19,Paksi FC,Puskás Akadémia FC,2.0,2.0,D,2.37,3.58,2.71
2024-2025,2025-04-19,Diósgyőri VTK,ETO FC,2.0,4.0,A,2.36,3.44,2.82
2024-2025,2025-04-19,Debreceni VSC,Zalaegerszegi TE FC,4.0,3.0,H,1.97,3.47,3.62
2024-2025,2025-04-13,Nyíregyháza Spartacus,Fehérvár FC,1.0,0.0,H,2.4,3.09,3.01
2024-2025,2025-04-13,Újpest FC,Debreceni VSC,2.0,1.0,H,2.24,3.39,2.99
2024-2025,2025-04-12,Zalaegerszegi TE FC,Ferencvárosi TC,0.0,2.0,A,5.27,3.89,1.59
2024-2025,2025-04-12,ETO FC,Puskás Akadémia FC,2.0,0.0,H,2.75,3.46,2.38
2024-2025,2025-04-11,MTK Budapest,Paksi FC,1.0,2.0,A,2.26,3.66,2.78
2024-2025,2025-04-11,Diósgyőri VTK,Kecskeméti TE,2.0,1.0,H,2.26,3.31,3.04
2024-2025,2025-04-06,Ferencvárosi TC,Újpest FC,2.0,0.0,H,1.32,5.06,8.2
2024-2025,2025-04-06,Puskás Akadémia FC,MTK Budapest,1.0,1.0,D,1.67,3.83,4.6
2024-2025,2025-04-06,Fehérvár FC,Zalaegerszegi TE FC,0.0,2.0,A,2.59,3.24,2.62
2024-2025,2025-04-05,Debreceni VSC,Diósgyőri VTK,4.0,1.0,H,1.72,3.85,4.26
2024-2025,2025-04-05,Paksi FC,Nyíregyháza Spartacus,2.0,0.0,H,1.55,4.16,5.25
2024-2025,2025-04-05,Kecskeméti TE,ETO FC,1.0,1.0,D,2.61,3.23,2.61
2024-2025,2025-03-30,Diósgyőri VTK,Ferencvárosi TC,1.0,1.0,D,9.02,5.35,1.28
2024-2025,2025-03-30,Újpest FC,Fehérvár FC,2.0,2.0,D,2.06,3.3,3.49
2024-2025,2025-03-29,Nyíregyháza Spartacus,Puskás Akadémia FC,0.0,2.0,A,3.8,3.57,1.88
2024-2025,2025-03-29,Zalaegerszegi TE FC,Paksi FC,1.0,1.0,D,2.62,3.56,2.39
2024-2025,2025-03-29,ETO FC,MTK Budapest,2.0,1.0,H,2.06,3.5,3.24
2024-2025,2025-03-28,Kecskeméti TE,Debreceni VSC,1.0,3.0,A,2.65,3.29,2.51
2024-2025,2025-03-16,Puskás Akadémia FC,Zalaegerszegi TE FC,2.0,1.0,H,1.52,4.14,5.76
2024-2025,2025-03-16,MTK Budapest,Nyíregyháza Spartacus,3.0,0.0,H,1.71,3.66,4.61
2024-2025,2025-03-16,Ferencvárosi TC,Kecskeméti TE,4.0,0.0,H,1.32,5.0,8.77
2024-2025,2025-03-16,Fehérvár FC,Diósgyőri VTK,0.0,0.0,D,2.0,3.4,3.58
2024-2025,2025-03-14,Paksi FC,Újpest FC,6.0,1.0,H,1.82,3.72,3.97
2024-2025,2025-03-14,ETO FC,Debreceni VSC,0.0,0.0,D,2.0,3.56,3.4
2024-2025,2025-03-09,Debreceni VSC,Ferencvárosi TC,0.0,1.0,A,5.03,4.13,1.58
2024-2025,2025-03-09,Újpest FC,Puskás Akadémia FC,1.0,1.0,D,3.66,3.41,1.98
2024-2025,2025-03-08,Diósgyőri VTK,Paksi FC,0.0,2.0,A,2.68,3.62,2.37
2024-2025,2025-03-08,Zalaegerszegi TE FC,MTK Budapest,1.0,1.0,D,2.26,3.36,3.05
2024-2025,2025-03-08,Nyíregyháza Spartacus,ETO FC,0.0,1.0,A,2.8,3.38,2.39
2024-2025,2025-03-07,Kecskeméti TE,Fehérvár FC,2.0,2.0,D,2.03,3.24,3.69
2024-2025,2025-03-02,Ferencvárosi TC,ETO FC,2.0,2.0,D,1.38,4.49,8.1
2024-2025,2025-03-02,Kecskeméti TE,Paksi FC,2.0,2.0,D,2.98,3.38,2.27
2024-2025,2025-03-02,Debreceni VSC,Fehérvár FC,1.0,2.0,A,1.95,3.47,3.64
2024-2025,2025-03-01,Újpest FC,MTK Budapest,1.0,5.0,A,2.37,3.31,2.87
2024-2025,2025-03-01,Diósgyőri VTK,Puskás Akadémia FC,2.0,1.0,H,3.65,3.64,1.91
2024-2025,2025-03-01,Zalaegerszegi TE FC,Nyíregyháza Spartacus,0.0,0.0,D,1.74,3.49,4.72
2024-2025,2025-02-23,Fehérvár FC,Ferencvárosi TC,1.0,3.0,A,5.32,3.78,1.61
2024-2025,2025-02-23,ETO FC,Zalaegerszegi TE FC,2.0,0.0,H,2.01,3.41,3.52
2024-2025,2025-02-22,Nyíregyháza Spartacus,Újpest FC,0.0,0.0,D,2.31,3.11,3.15
2024-2025,2025-02-22,Paksi FC,Debreceni VSC,4.0,3.0,H,1.81,3.84,3.85
2024-2025,2025-02-22,Puskás Akadémia FC,Kecskeméti TE,4.0,2.0,H,1.58,3.62,6.0
2024-2025,2025-02-21,MTK Budapest,Diósgyőri VTK,4.0,0.0,H,2.19,3.3,3.14
2024-2025,2025-02-16,Ferencvárosi TC,Paksi FC,0.0,2.0,A,1.47,4.31,6.03
2024-2025,2025-02-16,Újpest FC,Zalaegerszegi TE FC,1.0,2.0,A,2.25,3.28,3.08
2024-2025,2025-02-15,Debreceni VSC,Puskás Akadémia FC,1.0,2.0,A,3.44,3.52,2.0
2024-2025,2025-02-15,Diósgyőri VTK,Nyíregyháza Spartacus,1.0,2.0,A,1.97,3.35,3.73
2024-2025,2025-02-15,Kecskeméti TE,MTK Budapest,5.0,0.0,H,2.77,3.09,2.57
2024-2025,2025-02-14,Fehérvár FC,ETO FC,0.0,1.0,A,2.17,3.37,3.15
2024-2025,2025-02-09,Puskás Akadémia FC,Ferencvárosi TC,1.0,0.0,H,3.03,3.3,2.29
2024-2025,2025-02-09,Zalaegerszegi TE FC,Diósgyőri VTK,2.0,1.0,H,2.28,3.23,3.06
2024-2025,2025-02-08,ETO FC,Újpest FC,3.0,0.0,H,2.32,3.32,2.93
2024-2025,2025-02-08,Paksi FC,Fehérvár FC,2.0,0.0,H,1.85,3.65,3.88
2024-2025,2025-02-08,Nyíregyháza Spartacus,Kecskeméti TE,0.0,0.0,D,2.04,3.26,3.61
2024-2025,2025-02-07,MTK Budapest,Debreceni VSC,0.0,2.0,A,1.99,3.55,3.47
2024-2025,2025-02-05,Zalaegerszegi TE FC,Ferencvárosi TC,2.0,2.0,D,5.45,3.76,1.6
2024-2025,2025-02-02,Ferencvárosi TC,MTK Budapest,0.0,0.0,D,1.51,4.15,5.89
2024-2025,2025-02-02,Kecskeméti TE,Zalaegerszegi TE FC,1.0,0.0,H,2.48,3.22,2.78
2024-2025,2025-02-02,Debreceni VSC,Nyíregyháza Spartacus,3.0,1.0,H,2.07,3.49,3.26
2024-2025,2025-02-01,Diósgyőri VTK,Újpest FC,1.0,1.0,D,2.45,3.23,2.81
2024-2025,2025-02-01,Fehérvár FC,Puskás Akadémia FC,1.0,0.0,H,3.83,3.36,1.93
2024-2025,2025-02-01,Paksi FC,ETO FC,1.0,1.0,D,1.89,3.78,3.55
2024-2025,2024-12-15,Nyíregyháza Spartacus,Ferencvárosi TC,0.0,1.0,A,5.47,4.13,1.55
2024-2025,2024-12-15,Újpest FC,Kecskeméti TE,1.0,1.0,D,1.69,3.67,4.79
2024-2025,2024-12-14,Puskás Akadémia FC,Paksi FC,3.0,1.0,H,1.71,3.96,4.18
2024-2025,2024-12-14,ETO FC,Diósgyőri VTK,3.0,4.0,A,2.34,3.47,2.82
2024-2025,2024-12-14,Zalaegerszegi TE FC,Debreceni VSC,2.0,1.0,H,2.18,3.49,3.06
2024-2025,2024-12-14,MTK Budapest,Fehérvár FC,3.0,2.0,H,2.11,3.52,3.16
2024-2025,2024-12-08,Ferencvárosi TC,Zalaegerszegi TE FC,1.0,0.0,H,1.24,5.51,10.91
2024-2025,2024-12-08,Debreceni VSC,Újpest FC,1.0,2.0,A,2.44,3.49,2.65
2024-2025,2024-12-08,Fehérvár FC,Nyíregyháza Spartacus,2.0,0.0,H,1.94,3.46,3.71
2024-2025,2024-12-07,Paksi FC,MTK Budapest,4.0,2.0,H,2.07,3.58,3.2
2024-2025,2024-12-07,Puskás Akadémia FC,ETO FC,0.0,3.0,A,1.49,4.06,6.29
2024-2025,2024-12-07,Kecskeméti TE,Diósgyőri VTK,0.0,0.0,D,2.51,3.44,2.6
2024-2025,2024-12-05,Debreceni VSC,Ferencvárosi TC,5.0,4.0,H,6.27,4.34,1.46
2024-2025,2024-12-04,ETO FC,Puskás Akadémia FC,0.0,2.0,A,3.25,3.52,2.08
2024-2025,2024-12-03,MTK Budapest,Paksi FC,3.0,1.0,H,2.47,3.53,2.58
2024-2025,2024-12-01,Újpest FC,Ferencvárosi TC,0.0,0.0,D,5.31,3.89,1.58
2024-2025,2024-12-01,Zalaegerszegi TE FC,Fehérvár FC,0.0,1.0,A,2.27,3.17,3.14
2024-2025,2024-11-30,Diósgyőri VTK,Debreceni VSC,3.0,1.0,H,2.15,3.51,3.07
2024-2025,2024-11-30,ETO FC,Kecskeméti TE,1.0,2.0,A,1.71,3.62,4.79
2024-2025,2024-11-30,MTK Budapest,Puskás Akadémia FC,0.0,1.0,A,3.39,3.57,2.01
2024-2025,2024-11-29,Nyíregyháza Spartacus,Paksi FC,4.0,2.0,H,3.02,3.52,2.19
2024-2025,2024-11-24,Debreceni VSC,Kecskeméti TE,2.0,2.0,D,1.78,3.78,4.11
2024-2025,2024-11-24,Ferencvárosi TC,Diósgyőri VTK,3.0,3.0,D,1.24,5.89,10.9
2024-2025,2024-11-24,Paksi FC,Zalaegerszegi TE FC,2.0,2.0,D,1.62,3.9,5.03
2024-2025,2024-11-23,Fehérvár FC,Újpest FC,0.0,1.0,A,2.32,3.22,2.97
2024-2025,2024-11-23,MTK Budapest,ETO FC,2.0,2.0,D,1.93,3.57,3.64
2024-2025,2024-11-23,Nyíregyháza Spartacus,Puskás Akadémia FC,0.0,3.0,A,3.59,3.51,1.96
2024-2025,2024-11-10,Kecskeméti TE,Ferencvárosi TC,0.0,1.0,A,9.21,4.77,1.32
2024-2025,2024-11-10,Diósgyőri VTK,Fehérvár FC,1.0,0.0,H,2.34,3.52,2.8
2024-2025,2024-11-09,Újpest FC,Paksi FC,0.0,0.0,D,2.29,3.62,2.77
2024-2025,2024-11-09,Debreceni VSC,ETO FC,2.0,2.0,D,2.06,3.5,3.39
2024-2025,2024-11-09,Zalaegerszegi TE FC,Puskás Akadémia FC,4.0,2.0,H,3.9,3.67,1.84
2024-2025,2024-11-08,Nyíregyháza Spartacus,MTK Budapest,2.0,0.0,H,2.65,3.54,2.42
2024-2025,2024-11-03,Fehérvár FC,Kecskeméti TE,6.0,1.0,H,1.9,3.46,3.91
2024-2025,2024-11-03,Ferencvárosi TC,Debreceni VSC,2.0,2.0,D,1.25,6.08,9.41
2024-2025,2024-11-03,Paksi FC,Diósgyőri VTK,3.0,4.0,A,1.59,4.15,4.97
2024-2025,2024-11-02,ETO FC,Nyíregyháza Spartacus,1.0,1.0,D,2.12,3.41,3.27
2024-2025,2024-11-02,Puskás Akadémia FC,Újpest FC,1.0,1.0,D,1.6,3.85,5.3
2024-2025,2024-11-02,MTK Budapest,Zalaegerszegi TE FC,1.0,1.0,D,1.89,3.51,3.86
2024-2025,2024-10-27,ETO FC,Ferencvárosi TC,1.0,1.0,D,5.74,3.99,1.55
2024-2025,2024-10-27,Paksi FC,Kecskeméti TE,1.0,0.0,H,1.58,4.13,5.06
2024-2025,2024-10-27,Nyíregyháza Spartacus,Zalaegerszegi TE FC,1.0,1.0,D,2.09,3.41,3.3
2024-2025,2024-10-26,MTK Budapest,Újpest FC,4.0,1.0,H,2.28,3.41,2.96
2024-2025,2024-10-26,Fehérvár FC,Debreceni VSC,2.0,0.0,H,2.13,3.55,3.13
2024-2025,2024-10-26,Puskás Akadémia FC,Diósgyőri VTK,1.0,1.0,D,1.37,4.48,8.42
2024-2025,2024-10-20,Ferencvárosi TC,Fehérvár FC,2.0,0.0,H,1.23,6.01,10.3
2024-2025,2024-10-20,Zalaegerszegi TE FC,ETO FC,1.0,2.0,A,2.04,3.47,3.42
2024-2025,2024-10-20,Kecskeméti TE,Puskás Akadémia FC,0.0,3.0,A,4.22,3.66,1.78
2024-2025,2024-10-19,Újpest FC,Nyíregyháza Spartacus,1.0,0.0,H,2.1,3.46,3.29
2024-2025,2024-10-19,Diósgyőri VTK,MTK Budapest,0.0,2.0,A,2.41,3.29,2.81
2024-2025,2024-10-19,Debreceni VSC,Paksi FC,0.0,5.0,A,2.23,3.5,2.98
2024-2025,2024-10-06,Paksi FC,Ferencvárosi TC,3.0,1.0,H,4.07,3.63,1.81
2024-2025,2024-10-06,Zalaegerszegi TE FC,Újpest FC,0.0,2.0,A,2.8,3.34,2.39
2024-2025,2024-10-05,Nyíregyháza Spartacus,Diósgyőri VTK,0.0,2.0,A,2.1,3.42,3.25
2024-2025,2024-10-05,MTK Budapest,Kecskeméti TE,3.0,1.0,H,1.82,3.63,3.97
2024-2025,2024-10-05,ETO FC,Fehérvár FC,3.0,1.0,H,2.02,3.57,3.35
2024-2025,2024-10-04,Puskás Akadémia FC,Debreceni VSC,1.0,0.0,H,1.6,4.03,4.92
2024-2025,2024-09-29,Ferencvárosi TC,Puskás Akadémia FC,3.0,0.0,H,1.59,3.97,5.26
2024-2025,2024-09-29,Fehérvár FC,Paksi FC,1.0,2.0,A,2.69,3.29,2.54
2024-2025,2024-09-28,Debreceni VSC,MTK Budapest,2.0,3.0,A,1.94,3.77,3.43
2024-2025,2024-09-28,Kecskeméti TE,Nyíregyháza Spartacus,0.0,2.0,A,2.33,3.38,2.89
2024-2025,2024-09-28,Diósgyőri VTK,Zalaegerszegi TE FC,2.0,1.0,H,2.21,3.42,3.04
2024-2025,2024-09-27,Újpest FC,ETO FC,0.0,0.0,D,1.86,3.67,3.81
2024-2025,2024-09-22,ETO FC,Paksi FC,2.0,1.0,H,2.41,3.56,2.64
2024-2025,2024-09-22,Puskás Akadémia FC,Fehérvár FC,3.0,0.0,H,1.6,3.91,5.07
2024-2025,2024-09-21,Nyíregyháza Spartacus,Debreceni VSC,3.0,2.0,H,2.88,3.36,2.31
2024-2025,2024-09-21,Újpest FC,Diósgyőri VTK,0.0,0.0,D,1.78,3.67,4.14
2024-2025,2024-09-21,Zalaegerszegi TE FC,Kecskeméti TE,2.0,1.0,H,2.16,3.29,3.27
2024-2025,2024-09-20,MTK Budapest,Ferencvárosi TC,1.0,3.0,A,5.81,4.17,1.51
2024-2025,2024-09-01,Ferencvárosi TC,Nyíregyháza Spartacus,2.0,1.0,H,1.28,5.49,8.88
2024-2025,2024-09-01,Paksi FC,Puskás Akadémia FC,2.0,1.0,H,2.55,3.44,2.52
2024-2025,2024-09-01,Kecskeméti TE,Újpest FC,1.0,3.0,A,2.45,3.23,2.79
2024-2025,2024-08-31,Diósgyőri VTK,ETO FC,0.0,0.0,D,2.34,3.57,2.73
2024-2025,2024-08-31,Debreceni VSC,Zalaegerszegi TE FC,3.0,1.0,H,1.93,3.57,3.6
2024-2025,2024-08-30,Fehérvár FC,MTK Budapest,1.0,0.0,H,2.17,3.51,3.01
2024-2025,2024-08-25,Nyíregyháza Spartacus,Fehérvár FC,3.0,3.0,D,2.92,3.38,2.3
2024-2025,2024-08-24,Diósgyőri VTK,Kecskeméti TE,1.0,0.0,H,2.29,3.19,3.09
2024-2025,2024-08-23,Újpest FC,Debreceni VSC,3.0,0.0,H,2.03,3.53,3.32
2024-2025,2024-08-18,Puskás Akadémia FC,MTK Budapest,1.0,0.0,H,1.71,3.68,4.5
2024-2025,2024-08-18,Paksi FC,Nyíregyháza Spartacus,2.0,1.0,H,1.67,4.0,4.43
2024-2025,2024-08-18,Fehérvár FC,Zalaegerszegi TE FC,1.0,1.0,D,2.14,3.36,3.23
2024-2025,2024-08-17,Ferencvárosi TC,Újpest FC,1.0,0.0,H,1.28,5.36,9.14
2024-2025,2024-08-17,Debreceni VSC,Diósgyőri VTK,0.0,1.0,A,1.87,3.66,3.77
2024-2025,2024-08-16,Kecskeméti TE,ETO FC,2.0,1.0,H,1.94,3.33,3.81
2024-2025,2024-08-11,Puskás Akadémia FC,Nyíregyháza Spartacus,3.0,1.0,H,1.76,3.68,4.21
2024-2025,2024-08-11,Újpest FC,Fehérvár FC,4.0,1.0,H,2.22,3.38,3.03
2024-2025,2024-08-11,ETO FC,MTK Budapest,1.0,2.0,A,2.72,3.39,2.41
2024-2025,2024-08-10,Zalaegerszegi TE FC,Paksi FC,3.0,1.0,H,2.59,3.24,2.66
2024-2025,2024-08-10,Diósgyőri VTK,Ferencvárosi TC,0.0,2.0,A,4.86,3.97,1.61
2024-2025,2024-08-09,Kecskeméti TE,Debreceni VSC,1.0,1.0,D,2.63,3.34,2.53
2024-2025,2024-08-04,Paksi FC,Újpest FC,2.0,1.0,H,1.76,3.78,4.06
2024-2025,2024-08-03,Ferencvárosi TC,Kecskeméti TE,1.0,0.0,H,1.24,5.97,9.93
2024-2025,2024-08-03,Fehérvár FC,Diósgyőri VTK,3.0,1.0,H,1.93,3.62,3.56
2024-2025,2024-08-02,ETO FC,Debreceni VSC,0.0,3.0,A,2.86,3.28,2.38
2024-2025,2024-07-28,Diósgyőri VTK,Paksi FC,2.0,2.0,D,2.7,3.51,2.37
2024-2025,2024-07-28,Kecskeméti TE,Fehérvár FC,0.0,0.0,D,2.38,3.25,2.86
2024-2025,2024-07-28,Újpest FC,Puskás Akadémia FC,1.0,2.0,A,3.37,3.45,2.03
2024-2025,2024-07-26,Nyíregyháza Spartacus,ETO FC,2.0,1.0,H,2.34,3.24,2.93
2024-2025,2024-07-26,Zalaegerszegi TE FC,MTK Budapest,0.0,1.0,A,2.18,3.5,3.01
2023-2024,2024-05-19,Ferencvárosi TC,Újpest FC,2.0,0.0,H,1.2,6.31,11.22
2023-2024,2024-05-19,Kecskeméti TE,Zalaegerszegi TE FC,2.0,1.0,H,1.84,3.94,3.58
2023-2024,2024-05-18,Puskás Akadémia FC,Debreceni VSC,4.0,1.0,H,1.36,4.76,7.39
2023-2024,2024-05-18,Fehérvár FC,Diósgyőri VTK,0.0,0.0,D,1.6,4.05,4.69
2023-2024,2024-05-18,Paksi FC,Kisvárda FC,2.0,1.0,H,1.47,4.68,5.39
2023-2024,2024-05-17,Mezőkövesd Zsóry FC,MTK Budapest,1.0,1.0,D,2.9,3.8,2.11
2023-2024,2024-05-12,Debreceni VSC,Fehérvár FC,1.0,0.0,H,2.0,3.63,3.29
2023-2024,2024-05-12,Kisvárda FC,Mezőkövesd Zsóry FC,4.0,3.0,H,1.6,4.2,4.69
2023-2024,2024-05-11,Diósgyőri VTK,Ferencvárosi TC,2.0,0.0,H,4.69,4.58,1.56
2023-2024,2024-05-11,Zalaegerszegi TE FC,Paksi FC,1.0,1.0,D,3.1,3.61,2.11
2023-2024,2024-05-11,MTK Budapest,Puskás Akadémia FC,1.0,3.0,A,5.58,4.56,1.48
2023-2024,2024-05-10,Újpest FC,Kecskeméti TE,0.0,3.0,A,2.5,3.44,2.64
2023-2024,2024-05-05,Ferencvárosi TC,Debreceni VSC,5.0,1.0,H,1.4,4.79,6.46
2023-2024,2024-05-05,Kecskeméti TE,Paksi FC,0.0,0.0,D,2.75,3.4,2.43
2023-2024,2024-05-04,Újpest FC,Diósgyőri VTK,7.0,0.0,H,2.36,3.58,2.65
2023-2024,2024-05-04,Puskás Akadémia FC,Kisvárda FC,4.0,2.0,H,1.64,3.79,4.88
2023-2024,2024-05-04,Mezőkövesd Zsóry FC,Zalaegerszegi TE FC,1.0,2.0,A,3.49,3.68,1.94
2023-2024,2024-05-03,Fehérvár FC,MTK Budapest,4.0,0.0,H,1.9,3.98,3.33
2023-2024,2024-04-28,MTK Budapest,Ferencvárosi TC,1.0,2.0,A,5.62,4.36,1.5
2023-2024,2024-04-28,Kisvárda FC,Fehérvár FC,1.0,0.0,H,2.79,3.35,2.39
2023-2024,2024-04-27,Debreceni VSC,Újpest FC,1.0,0.0,H,1.72,3.82,4.32
2023-2024,2024-04-27,Diósgyőri VTK,Kecskeméti TE,0.0,0.0,D,1.98,3.31,3.67
2023-2024,2024-04-27,Paksi FC,Mezőkövesd Zsóry FC,2.0,1.0,H,1.24,5.66,9.84
2023-2024,2024-04-26,Zalaegerszegi TE FC,Puskás Akadémia FC,1.0,0.0,H,3.75,3.62,1.88
2023-2024,2024-04-21,Újpest FC,MTK Budapest,1.0,2.0,A,2.28,3.58,2.79
2023-2024,2024-04-21,Fehérvár FC,Zalaegerszegi TE FC,1.0,1.0,D,1.97,3.51,3.54
2023-2024,2024-04-21,Kecskeméti TE,Mezőkövesd Zsóry FC,2.0,1.0,H,1.41,4.28,7.35
2023-2024,2024-04-20,Diósgyőri VTK,Debreceni VSC,5.0,3.0,H,2.75,3.35,2.41
2023-2024,2024-04-20,Ferencvárosi TC,Kisvárda FC,0.0,0.0,D,1.13,7.46,17.85
2023-2024,2024-04-20,Puskás Akadémia FC,Paksi FC,5.0,0.0,H,2.09,3.42,3.34
2023-2024,2024-04-14,Mezőkövesd Zsóry FC,Puskás Akadémia FC,0.0,4.0,A,5.96,3.9,1.54
2023-2024,2024-04-14,Zalaegerszegi TE FC,Ferencvárosi TC,2.0,3.0,A,6.45,4.29,1.45
2023-2024,2024-04-14,MTK Budapest,Diósgyőri VTK,1.0,1.0,D,2.23,3.49,2.92
2023-2024,2024-04-13,Paksi FC,Fehérvár FC,1.0,2.0,A,1.85,3.57,3.94
2023-2024,2024-04-13,Debreceni VSC,Kecskeméti TE,1.0,0.0,H,1.53,3.94,5.98
2023-2024,2024-04-13,Kisvárda FC,Újpest FC,4.0,1.0,H,2.46,3.36,2.69
2023-2024,2024-04-10,Ferencvárosi TC,Diósgyőri VTK,2.0,1.0,H,1.22,6.22,10.55
2023-2024,2024-04-07,Kecskeméti TE,Puskás Akadémia FC,1.0,2.0,A,3.91,3.54,1.84
2023-2024,2024-04-07,Ferencvárosi TC,Paksi FC,1.0,0.0,H,1.42,4.65,6.41
2023-2024,2024-04-06,Debreceni VSC,MTK Budapest,1.0,2.0,A,1.69,3.83,4.47
2023-2024,2024-04-06,Diósgyőri VTK,Kisvárda FC,1.0,1.0,D,1.92,3.56,3.69
2023-2024,2024-04-06,Fehérvár FC,Mezőkövesd Zsóry FC,5.0,0.0,H,1.66,3.71,4.8
2023-2024,2024-04-05,Újpest FC,Zalaegerszegi TE FC,1.0,5.0,A,1.86,3.72,3.75
2023-2024,2024-03-31,Mezőkövesd Zsóry FC,Ferencvárosi TC,0.0,3.0,A,9.89,5.19,1.27
2023-2024,2024-03-31,Paksi FC,Újpest FC,1.0,2.0,A,1.68,3.87,4.45
2023-2024,2024-03-30,Zalaegerszegi TE FC,Diósgyőri VTK,5.0,1.0,H,2.61,3.41,2.46
2023-2024,2024-03-30,MTK Budapest,Kecskeméti TE,2.0,2.0,D,2.19,3.37,3.09
2023-2024,2024-03-30,Kisvárda FC,Debreceni VSC,1.0,3.0,A,2.93,3.3,2.3
2023-2024,2024-03-29,Puskás Akadémia FC,Fehérvár FC,0.0,0.0,D,1.65,3.8,4.81
2023-2024,2024-03-17,MTK Budapest,Kisvárda FC,2.0,1.0,H,2.1,3.42,3.22
2023-2024,2024-03-17,Ferencvárosi TC,Puskás Akadémia FC,1.0,1.0,D,1.45,4.28,6.55
2023-2024,2024-03-17,Debreceni VSC,Zalaegerszegi TE FC,5.0,1.0,H,1.71,3.76,4.46
2023-2024,2024-03-16,Kecskeméti TE,Fehérvár FC,0.0,1.0,A,2.31,3.31,2.96
2023-2024,2024-03-16,Diósgyőri VTK,Paksi FC,2.0,1.0,H,2.6,3.52,2.46
2023-2024,2024-03-16,Újpest FC,Mezőkövesd Zsóry FC,2.0,2.0,D,1.84,3.52,4.03
2023-2024,2024-03-10,Zalaegerszegi TE FC,MTK Budapest,2.0,2.0,D,2.18,3.47,3.09
2023-2024,2024-03-10,Fehérvár FC,Ferencvárosi TC,0.0,2.0,A,6.71,4.48,1.43
2023-2024,2024-03-10,Paksi FC,Debreceni VSC,1.0,1.0,D,2.0,3.46,3.57
2023-2024,2024-03-09,Kecskeméti TE,Kisvárda FC,3.0,1.0,H,2.15,3.2,3.43
2023-2024,2024-03-09,Mezőkövesd Zsóry FC,Diósgyőri VTK,1.0,2.0,A,3.05,3.55,2.17
2023-2024,2024-03-08,Puskás Akadémia FC,Újpest FC,0.0,2.0,A,1.56,4.0,5.46
2023-2024,2024-03-03,Újpest FC,Fehérvár FC,2.0,0.0,H,2.15,3.4,3.06
2023-2024,2024-03-03,Ferencvárosi TC,Kecskeméti TE,2.0,0.0,H,1.24,5.99,9.52
2023-2024,2024-03-03,MTK Budapest,Paksi FC,0.0,2.0,A,3.26,3.61,2.01
2023-2024,2024-03-02,Diósgyőri VTK,Puskás Akadémia FC,1.0,1.0,D,2.88,3.35,2.28
2023-2024,2024-03-02,Kisvárda FC,Zalaegerszegi TE FC,1.0,0.0,H,2.03,3.31,3.42
2023-2024,2024-03-02,Debreceni VSC,Mezőkövesd Zsóry FC,0.0,1.0,A,1.55,3.78,5.73
2023-2024,2024-02-25,Újpest FC,Ferencvárosi TC,0.0,5.0,A,5.85,4.5,1.45
2023-2024,2024-02-25,Kisvárda FC,Paksi FC,0.0,1.0,A,3.41,3.59,1.97
2023-2024,2024-02-24,Debreceni VSC,Puskás Akadémia FC,1.0,0.0,H,2.47,3.22,2.75
2023-2024,2024-02-24,Diósgyőri VTK,Fehérvár FC,4.0,0.0,H,1.99,3.59,3.39
2023-2024,2024-02-24,Zalaegerszegi TE FC,Kecskeméti TE,3.0,1.0,H,2.37,3.17,2.95
2023-2024,2024-02-23,MTK Budapest,Mezőkövesd Zsóry FC,3.0,1.0,H,1.95,3.31,3.73
2023-2024,2024-02-18,Puskás Akadémia FC,MTK Budapest,6.0,1.0,H,1.6,3.85,5.28
2023-2024,2024-02-18,Fehérvár FC,Debreceni VSC,1.0,0.0,H,2.69,3.38,2.44
2023-2024,2024-02-17,Mezőkövesd Zsóry FC,Kisvárda FC,1.0,2.0,A,2.7,3.08,2.63
2023-2024,2024-02-17,Kecskeméti TE,Újpest FC,1.0,0.0,H,2.17,3.4,3.1
2023-2024,2024-02-16,Paksi FC,Zalaegerszegi TE FC,3.0,4.0,A,1.57,4.01,5.32
2023-2024,2024-02-11,Zalaegerszegi TE FC,Mezőkövesd Zsóry FC,1.0,1.0,D,1.95,3.29,3.83
2023-2024,2024-02-11,Diósgyőri VTK,Újpest FC,1.0,2.0,A,1.85,3.61,3.82
2023-2024,2024-02-11,Paksi FC,Kecskeméti TE,1.0,0.0,H,1.71,3.77,4.31
2023-2024,2024-02-10,Debreceni VSC,Ferencvárosi TC,1.0,2.0,A,4.58,3.78,1.68
2023-2024,2024-02-10,MTK Budapest,Fehérvár FC,0.0,2.0,A,2.41,3.49,2.63
2023-2024,2024-02-10,Kisvárda FC,Puskás Akadémia FC,0.0,2.0,A,3.21,3.32,2.13
2023-2024,2024-02-08,Kecskeméti TE,Diósgyőri VTK,2.0,1.0,H,2.09,3.61,3.1
