match_id,season_id,matchday,date,time,home_team,away_team,home_score,away_score,result,goal_diff
2024_10_ZTE_ETO,2024,10,2024-10-20,09:15,Zalaegerszegi TE FC,ETO FC,1,2,A,-1
2024_10_FTC_FEHERVAR,2024,10,2024-10-20,11:45,Ferencvárosi TC,Fehérvár FC,2,0,H,2
2024_11_PUSKAS_DVTK,2024,11,2024-10-26,08:45,Puskás Akadémia FC,Diósgyőri VTK,1,1,D,0
2024_11_FEHERVAR_DVSC,2024,11,2024-10-26,11:15,Fehérvár FC,Debreceni VSC,2,0,H,2
2024_11_MTK_UJPEST,2024,11,2024-10-26,14:45,MTK Budapest,Újpest FC,4,1,H,3
2024_11_NYIREGYHAZA_ZTE,2024,11,2024-10-27,08:00,Nyíregyháza Spartacus,Zalaegerszegi TE FC,1,1,D,0
2024_11_PAKS_KTE,2024,11,2024-10-27,10:15,Paksi FC,Kecskeméti TE,1,0,H,1
2024_11_ETO_FTC,2024,11,2024-10-27,12:45,ETO FC,Ferencvárosi TC,1,1,D,0
2024_12_MTK_ZTE,2024,12,2024-11-02,07:30,MTK Budapest,Zalaegerszegi TE FC,1,1,D,0
2024_12_PUSKAS_UJPEST,2024,12,2024-11-02,11:30,Puskás Akadémia FC,Újpest FC,1,1,D,0
2024_12_ETO_NYIREGYHAZA,2024,12,2024-11-02,14:00,ETO FC,Nyíregyháza Spartacus,1,1,D,0
2024_12_PAKS_DVTK,2024,12,2024-11-03,06:30,Paksi FC,Diósgyőri VTK,3,4,A,-1
2024_12_FTC_DVSC,2024,12,2024-11-03,08:45,Ferencvárosi TC,Debreceni VSC,2,2,D,0
2024_12_FEHERVAR_KTE,2024,12,2024-11-03,11:00,Fehérvár FC,Kecskeméti TE,6,1,H,5
2024_13_NYIREGYHAZA_MTK,2024,13,2024-11-08,14:00,Nyíregyháza Spartacus,MTK Budapest,2,0,H,2
2024_13_ZTE_PUSKAS,2024,13,2024-11-09,07:30,Zalaegerszegi TE FC,Puskás Akadémia FC,4,2,H,2
2024_13_DVSC_ETO,2024,13,2024-11-09,10:00,Debreceni VSC,ETO FC,2,2,D,0
2024_13_UJPEST_PAKS,2024,13,2024-11-09,12:30,Újpest FC,Paksi FC,0,0,D,0
2024_13_DVTK_FEHERVAR,2024,13,2024-11-10,09:30,Diósgyőri VTK,Fehérvár FC,1,0,H,1
2024_13_KTE_FTC,2024,13,2024-11-10,12:00,Kecskeméti TE,Ferencvárosi TC,0,1,A,-1
2024_14_NYIREGYHAZA_PUSKAS,2024,14,2024-11-23,07:30,Nyíregyháza Spartacus,Puskás Akadémia FC,0,3,A,-3
2024_14_MTK_ETO,2024,14,2024-11-23,10:00,MTK Budapest,ETO FC,2,2,D,0
2024_14_FEHERVAR_UJPEST,2024,14,2024-11-23,12:30,Fehérvár FC,Újpest FC,0,1,A,-1
2024_14_PAKS_ZTE,2024,14,2024-11-24,07:00,Paksi FC,Zalaegerszegi TE FC,2,2,D,0
2024_14_FTC_DVTK,2024,14,2024-11-24,09:30,Ferencvárosi TC,Diósgyőri VTK,3,3,D,0
2024_14_DVSC_KTE,2024,14,2024-11-24,11:45,Debreceni VSC,Kecskeméti TE,2,2,D,0
2024_15_NYIREGYHAZA_PAKS,2024,15,2024-11-29,14:00,Nyíregyháza Spartacus,Paksi FC,4,2,H,2
2024_15_MTK_PUSKAS,2024,15,2024-11-30,06:30,MTK Budapest,Puskás Akadémia FC,0,1,A,-1
2024_15_ETO_KTE,2024,15,2024-11-30,08:30,ETO FC,Kecskeméti TE,1,2,A,-1
2024_15_DVTK_DVSC,2024,15,2024-11-30,10:30,Diósgyőri VTK,Debreceni VSC,3,1,H,2
2024_15_ZTE_FEHERVAR,2024,15,2024-12-01,11:00,Zalaegerszegi TE FC,Fehérvár FC,0,1,A,-1
2024_15_UJPEST_FTC,2024,15,2024-12-01,13:30,Újpest FC,Ferencvárosi TC,0,0,D,0
2024_16_KTE_DVTK,2024,16,2024-12-07,07:30,Kecskeméti TE,Diósgyőri VTK,0,0,D,0
2024_16_PUSKAS_ETO,2024,16,2024-12-07,10:45,Puskás Akadémia FC,ETO FC,0,3,A,-3
2024_16_PAKS_MTK,2024,16,2024-12-07,13:15,Paksi FC,MTK Budapest,4,2,H,2
2024_16_FEHERVAR_NYIREGYHAZA,2024,16,2024-12-08,08:45,Fehérvár FC,Nyíregyháza Spartacus,2,0,H,2
2024_16_DVSC_UJPEST,2024,16,2024-12-08,11:00,Debreceni VSC,Újpest FC,1,2,A,-1
2024_16_FTC_ZTE,2024,16,2024-12-08,14:00,Ferencvárosi TC,Zalaegerszegi TE FC,1,0,H,1
2024_17_MTK_FEHERVAR,2024,17,2024-12-14,06:00,MTK Budapest,Fehérvár FC,3,2,H,1
2024_17_ZTE_DVSC,2024,17,2024-12-14,08:30,Zalaegerszegi TE FC,Debreceni VSC,2,1,H,1
2024_17_ETO_DVTK,2024,17,2024-12-14,11:00,ETO FC,Diósgyőri VTK,3,4,A,-1
2024_17_PUSKAS_PAKS,2024,17,2024-12-14,13:30,Puskás Akadémia FC,Paksi FC,3,1,H,2
