matchday,team,current_pts,exp_final_pts,p_champion,p_top4,p_relegation,current_rank
24,Fehérvár FC,29,41.2,0.0,1.5,1.2,8
24,Ferencvárosi TC,46,62.6,44.4,100.0,0.0,2
24,Kecskeméti TE,20,31.4,0.0,0.0,74.1,12
24,MTK Budapest,40,51.2,0.3,75.5,0.0,4
24,Nyíregyháza Spartacus,24,34.0,0.0,0.0,40.4,10
24,Paksi FC,44,58.2,10.8,98.8,0.0,3
24,Puskás Akadémia FC,48,63.1,44.5,99.9,0.0,1
24,Zalaegerszegi TE FC,25,36.9,0.0,0.2,13.5,9
24,Újpest FC,30,40.6,0.0,1.0,2.9,7
25,Debreceni VSC,23,33.4,0.0,0.0,42.8,11
25,Diósgyőri VTK,36,46.4,0.0,18.1,0.1,6
25,ETO FC,36,46.5,0.0,17.4,0.0,5
25,Fehérvár FC,30,40.7,0.0,1.1,1.1,8
25,Ferencvárosi TC,47,61.7,28.4,100.0,0.0,2
25,Kecskeméti TE,20,29.5,0.0,0.0,87.7,12
25,MTK Budapest,40,49.9,0.1,63.3,0.0,4
25,Nyíregyháza Spartacus,24,32.7,0.0,0.0,55.4,10
25,Paksi FC,45,57.8,7.8,99.0,0.0,3
25,Puskás Akadémia FC,51,64.6,63.6,100.0,0.0,1
25,Zalaegerszegi TE FC,26,36.7,0.0,0.1,10.7,9
25,Újpest FC,31,40.3,0.0,0.9,2.5,7
26,Debreceni VSC,26,35.1,0.0,0.1,23.1,10
26,Diósgyőri VTK,36,45.0,0.0,8.6,0.1,6
26,ETO FC,37,46.3,0.0,13.7,0.0,5
26,Fehérvár FC,30,38.6,0.0,0.2,4.8,8
26,Ferencvárosi TC,50,62.5,40.3,100.0,0.0,2
26,Kecskeméti TE,21,29.0,0.0,0.0,93.0,12
26,MTK Budapest,41,50.6,0.1,76.9,0.0,4
26,Nyíregyháza Spartacus,24,32.1,0.0,0.0,72.5,11
26,Paksi FC,48,58.7,10.9,99.8,0.0,3
26,Puskás Akadémia FC,52,63.5,48.7,100.0,0.0,1
26,Zalaegerszegi TE FC,29,39.1,0.0,0.1,3.5,9
26,Újpest FC,31,39.6,0.0,0.8,3.0,7
27,Debreceni VSC,26,33.8,0.0,0.0,39.1,11
27,Diósgyőri VTK,39,46.6,0.0,16.8,0.0,6
27,ETO FC,40,48.2,0.0,32.5,0.0,5
27,Fehérvár FC,30,37.1,0.0,0.0,7.6,8
27,Ferencvárosi TC,53,64.1,64.8,100.0,0.0,1
27,Kecskeméti TE,21,28.0,0.0,0.0,95.7,12
27,MTK Budapest,41,48.9,0.0,49.9,0.0,4
27,Nyíregyháza Spartacus,27,33.8,0.0,0.0,48.7,10
27,Paksi FC,51,60.3,14.0,100.0,0.0,3
27,Puskás Akadémia FC,52,61.7,21.3,100.0,0.0,2
27,Zalaegerszegi TE FC,29,37.6,0.0,0.0,8.8,9
