period,time_remaining,home_score,away_score,score_diff,clock,action_number,game_id,home_team,away_team
3,280,73,86,-13,PT04M30.00S,453,0022300032,Spurs,Kings
3,120,86,88,-2,PT02M07.00S,506,0022300032,Spurs,Kings
3,0,94,95,-1,PT00M00.00S,541,0022300032,Spurs,Kings
4,300,111,113,-2,PT05M24.00S,637,0022300032,Spurs,Kings
4,180,114,119,-5,PT03M01.00S,664,0022300032,Spurs,Kings
4,60,118,123,-5,PT01M07.00S,682,0022300032,Spurs,Kings
4,30,118,126,-8,PT00M29.00S,691,0022300032,Spurs,Kings
1,360,11,6,5,PT05M57.00S,80,0022300033,Bulls,Magic
1,0,16,23,-7,PT00M00.00S,149,0022300033,Bulls,Magic
2,360,24,39,-15,PT06M15.00S,225,0022300033,Bulls,Magic
2,0,33,48,-15,PT00M00.00S,323,0022300033,Bulls,Magic
3,360,46,61,-15,PT06M15.00S,398,0022300033,Bulls,Magic
3,280,53,65,-12,PT04M50.00S,423,0022300033,Bulls,Magic
3,120,59,72,-13,PT02M12.00S,453,0022300033,Bulls,Magic
3,0,65,77,-12,PT00M00.00S,486,0022300033,Bulls,Magic
4,300,86,89,-3,PT04M33.00S,573,0022300033,Bulls,Magic
4,180,92,92,0,PT02M58.00S,596,0022300033,Bulls,Magic
4,60,93,96,-3,PT00M54.70S,617,0022300033,Bulls,Magic
4,30,97,96,1,PT00M26.10S,621,0022300033,Bulls,Magic
1,360,21,17,4,PT05M56.00S,58,0022300034,Pelicans,Nuggets
1,0,36,28,8,PT00M00.00S,148,0022300034,Pelicans,Nuggets
2,360,52,35,17,PT06M11.00S,239,0022300034,Pelicans,Nuggets
2,0,69,53,16,PT00M00.60S,344,0022300034,Pelicans,Nuggets
3,360,84,70,14,PT05M54.00S,430,0022300034,Pelicans,Nuggets
3,280,86,73,13,PT04M35.00S,443,0022300034,Pelicans,Nuggets
3,120,92,82,10,PT02M00.00S,471,0022300034,Pelicans,Nuggets
3,0,95,86,9,PT00M00.00S,504,0022300034,Pelicans,Nuggets
4,300,102,100,2,PT04M31.00S,604,0022300034,Pelicans,Nuggets
4,180,105,102,3,PT03M08.00S,622,0022300034,Pelicans,Nuggets
4,60,113,110,3,PT00M59.60S,649,0022300034,Pelicans,Nuggets
4,30,114,110,4,PT00M13.50S,672,0022300034,Pelicans,Nuggets
1,360,14,28,-14,PT05M49.00S,85,0022300035,Jazz,Suns
1,0,38,41,-3,PT00M00.00S,168,0022300035,Jazz,Suns
2,360,52,58,-6,PT06M00.00S,254,0022300035,Jazz,Suns
2,0,75,75,0,PT00M00.00S,336,0022300035,Jazz,Suns
3,360,91,87,4,PT05M44.00S,416,0022300035,Jazz,Suns
3,280,93,89,4,PT04M58.00S,420,0022300035,Jazz,Suns
3,120,95,97,-2,PT01M49.00S,466,0022300035,Jazz,Suns
3,0,99,102,-3,PT00M00.00S,495,0022300035,Jazz,Suns
4,300,112,119,-7,PT05M02.00S,600,0022300035,Jazz,Suns
4,180,118,124,-6,PT02M54.00S,620,0022300035,Jazz,Suns
4,60,123,125,-2,PT00M51.00S,640,0022300035,Jazz,Suns
4,30,123,126,-3,PT00M39.70S,649,0022300035,Jazz,Suns
1,360,15,22,-7,PT05M50.00S,69,0022300036,Trail Blazers,Lakers
1,0,23,30,-7,PT00M00.00S,147,0022300036,Trail Blazers,Lakers
2,360,34,46,-12,PT06M00.00S,232,0022300036,Trail Blazers,Lakers
2,0,50,60,-10,PT00M00.00S,320,0022300036,Trail Blazers,Lakers
3,360,67,70,-3,PT06M04.00S,396,0022300036,Trail Blazers,Lakers
3,280,69,76,-7,PT04M35.00S,415,0022300036,Trail Blazers,Lakers
3,120,72,80,-8,PT02M18.00S,452,0022300036,Trail Blazers,Lakers
3,0,75,82,-7,PT00M00.00S,485,0022300036,Trail Blazers,Lakers
4,300,87,101,-14,PT05M32.00S,570,0022300036,Trail Blazers,Lakers
4,180,93,105,-12,PT03M04.00S,607,0022300036,Trail Blazers,Lakers
4,60,95,107,-12,PT01M42.00S,618,0022300036,Trail Blazers,Lakers
4,30,95,107,-12,PT00M00.00S,654,0022300036,Trail Blazers,Lakers
