strategy,bet_num,bankroll
D. Quarter Kelly | Edge 5%,37,126066.9
D. Quarter Kelly | Edge 5%,38,122617.9
D. Quarter Kelly | Edge 5%,39,125175.4
D. Quarter Kelly | Edge 5%,40,122113.4
D. Quarter Kelly | Edge 5%,41,121615.4
D. Quarter Kelly | Edge 5%,42,120984.4
D. Quarter Kelly | Edge 5%,43,117877.4
D. Quarter Kelly | Edge 5%,44,114117.4
D. Quarter Kelly | Edge 5%,45,113572.4
D. Quarter Kelly | Edge 5%,46,123568.2
D. Quarter Kelly | Edge 5%,47,121199.2
D. Quarter Kelly | Edge 5%,48,120493.2
D. Quarter Kelly | Edge 5%,49,119593.2
D. Quarter Kelly | Edge 5%,50,118500.2
D. Quarter Kelly | Edge 5%,51,126199.7
D. Quarter Kelly | Edge 5%,52,125244.7
D. Quarter Kelly | Edge 5%,53,121948.7
D. Quarter Kelly | Edge 5%,54,117517.7
D. Quarter Kelly | Edge 5%,55,116368.7
D. Quarter Kelly | Edge 5%,56,115356.7
D. Quarter Kelly | Edge 5%,57,115049.7
D. Quarter Kelly | Edge 5%,58,114177.7
D. Quarter Kelly | Edge 5%,59,113029.7
D. Quarter Kelly | Edge 5%,60,112125.7
D. Quarter Kelly | Edge 5%,61,111619.7
D. Quarter Kelly | Edge 5%,62,110896.7
D. Quarter Kelly | Edge 5%,63,115396.7
D. Quarter Kelly | Edge 5%,64,114753.7
D. Quarter Kelly | Edge 5%,65,114412.7
D. Quarter Kelly | Edge 5%,66,112876.7
D. Quarter Kelly | Edge 5%,67,115046.5
D. Quarter Kelly | Edge 5%,68,114488.5
D. Quarter Kelly | Edge 5%,69,124816.0
D. Quarter Kelly | Edge 5%,70,122312.0
D. Quarter Kelly | Edge 5%,71,121491.0
D. Quarter Kelly | Edge 5%,72,120338.0
D. Quarter Kelly | Edge 5%,73,119060.0
D. Quarter Kelly | Edge 5%,74,116157.0
D. Quarter Kelly | Edge 5%,75,114148.0
D. Quarter Kelly | Edge 5%,76,113647.0
D. Quarter Kelly | Edge 5%,77,110718.0
D. Quarter Kelly | Edge 5%,78,109986.0
D. Quarter Kelly | Edge 5%,79,131341.5
D. Quarter Kelly | Edge 5%,80,130524.5
D. Quarter Kelly | Edge 5%,81,129712.5
D. Quarter Kelly | Edge 5%,82,129033.5
D. Quarter Kelly | Edge 5%,83,128252.5
D. Quarter Kelly | Edge 5%,84,127429.5
D. Quarter Kelly | Edge 5%,85,125811.5
D. Quarter Kelly | Edge 5%,86,125138.5
D. Quarter Kelly | Edge 5%,87,121841.5
D. Quarter Kelly | Edge 5%,88,118486.5
D. Quarter Kelly | Edge 5%,89,118204.5
D. Quarter Kelly | Edge 5%,90,117486.5
D. Quarter Kelly | Edge 5%,91,116646.5
