name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,totalClearance,interceptionWon,unsuccessfulTouch,fouls,keyPass,totalContest,wonContest,blockedScoringAttempt,totalTackle,wonTackle,expectedGoals,sofascoreId,dispossessed,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceMissed,goals,outfielderBlock,totalOffside,goalAssist,penaltyConceded,clearanceOffLine,penaltyWon,hitWoodwork
Beto,,,beto,Beto,F,9,194,3261,M,987489,"{'alpha2': 'GW', 'alpha3': 'GNB', 'name': 'Guinea-Bissau', 'slug': 'guinea-bissau'}",EUR,886204800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيتو', 'hi': 'बेटो', 'bn': 'বেটো'}, 'shortNameTranslation': {'ar': 'بيتو', 'hi': 'बेटो', 'bn': 'বেটো'}}",9.0,4.0,,,2.0,2.0,8.0,9.0,1.0,2.0,,,,,,,61.0,28.0,6.6,13.0,0.00279112,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,,10.0,5.0,15.0,,2.0,1.0,3.0,2.0,,4.0,2.0,,,,0.0391,,2.0,,1.0,,,,,,,,,,,
André Gomes,,,andre-gomes,A. Gomes,M,26,188,1689,M,235460,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,743990400,"{'value': 4400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه غوميز', 'hi': 'आंद्रे गोम्स', 'bn': 'আন্দ্রে গোমেস'}, 'shortNameTranslation': {'ar': 'أ. غوميز', 'hi': 'ए. गोम्स', 'bn': 'এ. গোমেস'}}",14.0,12.0,,,3.0,4.0,10.0,1.0,,,,,,,,,30.0,19.0,6.4,3.0,0.00896852,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,9.0,,,1.0,,4.0,2.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
James Garner,,,james-garner,J. Garner,M,37,182,2524,M,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",13.0,12.0,1.0,1.0,7.0,7.0,7.0,1.0,2.0,,,,,,,,29.0,19.0,6.9,3.0,0.0028014,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,5.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,,,0.0435,,,,1.0,,,,,1.0,,,,,,1.0
Dominic Calvert-Lewin,,,dominic-calvert-lewin,D. Calvert-Lewin,F,9,187,4980,M,372344,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858470400,"{'value': 16200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك كالفيرت-لوين', 'hi': 'डोमिनिक कैल्वर्ट-लेविन', 'bn': 'ডমিনিক কালভার্ট-লেউইন'}, 'shortNameTranslation': {'ar': 'د. كالفيرت-لوين', 'hi': 'डी. कैल्वर्ट-लेविन', 'bn': 'ডি. কালভার্ট-লেউইন'}}",4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,,,,,,,29.0,11.0,7.1,6.0,1.747e-05,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,4.0,2.0,9.0,1.0,,,1.0,2.0,1.0,1.0,,,,,0.8024,CalvertLewin14,1.0,,1.0,1.0,0.9735,,1.0,,,,,,,
Youssef Chermiti,,,youssef-chermiti,Y. Chermiti,F,9,192,1566,M,1145627,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,1085356800,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوسف شرميطي', 'hi': 'यूसुफ़ चेरमीटी', 'bn': 'ইউসুফ চেরমিতি'}, 'shortNameTranslation': {'ar': 'ي. شرميطي', 'hi': 'वाई. चेरमीटी', 'bn': 'ওয়াই. চেরমিতি'}}",2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,8.0,6.0,6.6,3.0,0.00055926,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,1.0,,5.0,,,,1.0,3.0,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,
Séamus Coleman,,,seamus-coleman,S. Coleman,D,23,177,884,M,76632,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,592531200,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيمس كولمان', 'hi': 'सीमस कोलमैन', 'bn': 'সিমাস কোলম্যান'}, 'shortNameTranslation': {'ar': 'ش. كولمان', 'hi': 'एस. कोलमैन', 'bn': 'এস. কোলম্যান'}}",,,,,,,,,,,,,,,,,9.0,,6.4,,,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Virgínia,João,Virgínia,joao-virginia,J. Virgínia,G,12,191,814,M,930666,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,939513600,"{'value': 730000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو فيرجينيا', 'hi': 'जोआओ विरजीनिया', 'bn': 'জন ভার্জিনিয়া'}, 'shortNameTranslation': {'ar': 'ج. فيرجينيا', 'hi': 'जे. विरजीनिया', 'bn': 'জে. ভার্জিনিয়া'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Keane,,,michael-keane,M. Keane,D,5,188,1521,M,110846,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,726710400,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل كين', 'hi': 'माइकल कीन', 'bn': 'মাইকেল কিন'}, 'shortNameTranslation': {'ar': 'م. كين', 'hi': 'एम. कीन', 'bn': 'এম. কিন'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Patterson,Nathan,Patterson,patterson-nathan,N. Patterson,D,2,189,576,M,1020141,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1003190400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باترسون، ناثان', 'hi': 'पैटरसन, नाथन', 'bn': 'প্যাটারসন, নাথান'}, 'shortNameTranslation': {'ar': 'ن. باترسون', 'hi': 'एन. पैटरसन', 'bn': 'এন. প্যাটারসন'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Harrison,,,jack-harrison,J. Harrison,M,20,175,1080,M,829570,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848448000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
