round,home_team,home_url,away_team,away_url,result,match_url,home_league,away_league
First Round,Sárisápi Bányász,https://www.transfermarkt.com/sarisapi-banyasz/startseite/verein/28690/saison_id/2025,Teskánd,https://www.transfermarkt.com/teskand-se/startseite/verein/29768/saison_id/2025,5:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728372,Unknown,Unknown
First Round,Nyergesújfalu,https://www.transfermarkt.com/nyergesujfalu-se/startseite/verein/73200/saison_id/2025,Celldömölki VSE,https://www.transfermarkt.com/celldomolki-vse/startseite/verein/30000/saison_id/2025,2:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728373,Unknown,Unknown
First Round,Mórágyi SE,https://www.transfermarkt.com/moragyi-se/startseite/verein/134542/saison_id/2025,Airnergy FC,https://www.transfermarkt.com/airnergy-fc/startseite/verein/56544/saison_id/2025,2:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728374,Unknown,Unknown
First Round,Villány,https://www.transfermarkt.com/villanyi-tc/startseite/verein/102500/saison_id/2025,Kelen SC,https://www.transfermarkt.com/kelen-sc/startseite/verein/54890/saison_id/2025,5:6on pens,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728375,Unknown,Unknown
Second Round,Építők SK,https://www.transfermarkt.com/43-sz-epitok-sk/startseite/verein/56173/saison_id/2025,Martfű,https://www.transfermarkt.com/martfui-lse/startseite/verein/84993/saison_id/2025,1:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724600,Unknown,Unknown
Second Round,Hódoscsépány,https://www.transfermarkt.com/hodoscsepanyi-se/startseite/verein/134540/saison_id/2025,Salgótarján,https://www.transfermarkt.com/salgotarjani-btc/startseite/verein/7114/saison_id/2025,0:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4725004,Unknown,Unknown
Second Round,Gödöllő,https://www.transfermarkt.com/godolloi-sk/startseite/verein/49564/saison_id/2025,Ózd-Sajóvölgye,https://www.transfermarkt.com/ozd-sajovolgye-focisuli-se/startseite/verein/134541/saison_id/2025,4:1AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4725003,Unknown,Unknown
Second Round,Bicskei TC,https://www.transfermarkt.com/bicskei-tc/startseite/verein/30809/saison_id/2025,VLS Veszprém,https://www.transfermarkt.com/vls-veszprem/startseite/verein/27178/saison_id/2025,0:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724635,Unknown,Unknown
Second Round,Pilisi LK,https://www.transfermarkt.com/pilisi-lk/startseite/verein/41719/saison_id/2025,Issimo SE,https://www.transfermarkt.com/issimo-se/startseite/verein/58851/saison_id/2025,5:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724634,Unknown,Unknown
Second Round,Kaposvár,https://www.transfermarkt.com/kaposvari-rakoczi-fc/startseite/verein/6056/saison_id/2025,Érdi VSE,https://www.transfermarkt.com/erdi-vse/startseite/verein/29431/saison_id/2025,5:6on pens,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724633,Unknown,Unknown
Second Round,Budaörs,https://www.transfermarkt.com/budaorsi-sc/startseite/verein/17208/saison_id/2025,Nagykanizsa,https://www.transfermarkt.com/fc-nagykanizsa/startseite/verein/30641/saison_id/2025,1:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724632,Unknown,Unknown
Second Round,Sárbogárd,https://www.transfermarkt.com/sarbogard-se/startseite/verein/63055/saison_id/2025,Dombóvári FC,https://www.transfermarkt.com/dombovari-fc/startseite/verein/56223/saison_id/2025,1:6,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724631,Unknown,Unknown
Second Round,Mohács,https://www.transfermarkt.com/mohacsi-te-1888/startseite/verein/49925/saison_id/2025,Majosi SE,https://www.transfermarkt.com/majosi-se/startseite/verein/59528/saison_id/2025,2:4AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724630,Unknown,Unknown
Second Round,Iváncsa,https://www.transfermarkt.com/ivancsa-kse/startseite/verein/51232/saison_id/2025,Pénzügyőr,https://www.transfermarkt.com/penzugyor-se/startseite/verein/29987/saison_id/2025,2:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724629,Unknown,Unknown
Second Round,Nagyatádi FC,https://www.transfermarkt.com/nagyatadi-fc/startseite/verein/27401/saison_id/2025,Pécsi MFC,https://www.transfermarkt.com/pecsi-mfc/startseite/verein/3233/saison_id/2025,0:4,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724628,Unknown,Unknown
Second Round,Sárisápi Bányász,https://www.transfermarkt.com/sarisapi-banyasz/startseite/verein/28690/saison_id/2025,Szarvaskend,https://www.transfermarkt.com/szarvaskend-se/startseite/verein/62450/saison_id/2025,1:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724627,Unknown,Unknown
Second Round,Koppánymonostor,https://www.transfermarkt.com/koppanymonostori-se/startseite/verein/110986/saison_id/2025,Sárvár FC,https://www.transfermarkt.com/sarvar-fc/startseite/verein/26382/saison_id/2025,1:2AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724618,Unknown,Unknown
Second Round,Kapuvár,https://www.transfermarkt.com/kapuvari-se/startseite/verein/35521/saison_id/2025,Dorog,https://www.transfermarkt.com/dorogi-fc/startseite/verein/27770/saison_id/2025,0:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724617,Unknown,Unknown
Second Round,Mosonmagyaróvár,https://www.transfermarkt.com/mosonmagyarovari-te-1904/startseite/verein/30003/saison_id/2025,Gyirmót FC,https://www.transfermarkt.com/gyirmot-fc-gyor/startseite/verein/22610/saison_id/2025,0:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724616,Unknown,Unknown
Second Round,Balatonalmádi,https://www.transfermarkt.com/balatonalmadi-se/startseite/verein/59286/saison_id/2025,Komárom,https://www.transfermarkt.com/komaromi-vse/startseite/verein/55049/saison_id/2025,1:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724615,Unknown,Unknown
Second Round,Gyulai FC,https://www.transfermarkt.com/gyulai-fc/startseite/verein/28567/saison_id/2025,Csepel FC,https://www.transfermarkt.com/csepel-fc/startseite/verein/4668/saison_id/2025,3:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724613,Unknown,Unknown
Second Round,III. Kerület,https://www.transfermarkt.com/iii-kerulet-tve-budapest/startseite/verein/26308/saison_id/2025,BKV Előre,https://www.transfermarkt.com/bkv-elore-sc/startseite/verein/21345/saison_id/2025,5:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724599,Unknown,Unknown
Second Round,Csomádi KSE,https://www.transfermarkt.com/csomadi-kse/startseite/verein/30634/saison_id/2025,Putnok,https://www.transfermarkt.com/putnok-fc/startseite/verein/29766/saison_id/2025,0:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724601,Unknown,Unknown
Second Round,Sényő FC,https://www.transfermarkt.com/senyo-fc/startseite/verein/58827/saison_id/2025,Tarpa,https://www.transfermarkt.com/tarpa-sc/startseite/verein/49630/saison_id/2025,0:4,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724602,Unknown,Unknown
Second Round,Lajoskomárom,https://www.transfermarkt.com/lajoskomaromi-se/startseite/verein/59284/saison_id/2025,Pécsi EAC,https://www.transfermarkt.com/pecsi-eac/startseite/verein/29986/saison_id/2025,1:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724603,Unknown,Unknown
Second Round,Debreceni EAC,https://www.transfermarkt.com/debreceni-eac/startseite/verein/28779/saison_id/2025,Cigánd,https://www.transfermarkt.com/cigand-se/startseite/verein/34570/saison_id/2025,2:1AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724604,Unknown,Unknown
Second Round,Kelen SC,https://www.transfermarkt.com/kelen-sc/startseite/verein/54890/saison_id/2025,Dunaújváros,https://www.transfermarkt.com/dunaujvaros-pase/startseite/verein/27165/saison_id/2025,1:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724605,Unknown,Unknown
Second Round,FC Hatvan,https://www.transfermarkt.com/fc-hatvan/startseite/verein/30557/saison_id/2025,Tiszafüred,https://www.transfermarkt.com/tiszafuredi-vse/startseite/verein/29930/saison_id/2025,0:4,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724606,Unknown,Unknown
Second Round,Újfehértó SE,https://www.transfermarkt.com/ujfeherto-se/startseite/verein/31765/saison_id/2025,Füzesabony SC,https://www.transfermarkt.com/fuzesabony-sc/startseite/verein/56637/saison_id/2025,1:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724607,Unknown,Unknown
Second Round,Mátészalka,https://www.transfermarkt.com/mateszalkai-mtk/startseite/verein/58844/saison_id/2025,V.namény,https://www.transfermarkt.com/vasarosnameny-se/startseite/verein/93273/saison_id/2025,0:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724608,Unknown,Unknown
Second Round,Szolnok,https://www.transfermarkt.com/szolnoki-mav-fc/startseite/verein/5399/saison_id/2025,Dunaharaszti,https://www.transfermarkt.com/dunaharaszti-mtk/startseite/verein/27752/saison_id/2025,2:1AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724609,Unknown,Unknown
Second Round,Szajol,https://www.transfermarkt.com/szajol-klk/startseite/verein/59160/saison_id/2025,Rákóczifalva,https://www.transfermarkt.com/rakoczifalva-se/startseite/verein/84995/saison_id/2025,6:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724610,Unknown,Unknown
Second Round,Sándorfalva,https://www.transfermarkt.com/sandorfalvi-sk/startseite/verein/58609/saison_id/2025,Hódmezövásárhely FC,https://www.transfermarkt.com/hodmezovasarhely-fc/startseite/verein/30022/saison_id/2025,1:2AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724611,Unknown,Unknown
Second Round,Rákospalota,https://www.transfermarkt.com/rakospalotai-eac/startseite/verein/13414/saison_id/2025,Tiszaföldvár,https://www.transfermarkt.com/tiszafoldvar-vse/startseite/verein/75824/saison_id/2025,1:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724612,Unknown,Unknown
Second Round,Bőny SE,https://www.transfermarkt.com/bony-se/startseite/verein/66432/saison_id/2025,Móri SE,https://www.transfermarkt.com/mor-se/startseite/verein/27775/saison_id/2025,2:4,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724614,Unknown,Unknown
Second Round,Bordány,https://www.transfermarkt.com/bordany-sk/startseite/verein/78349/saison_id/2025,ESMTK,https://www.transfermarkt.com/erzsebeti-smtk/startseite/verein/22014/saison_id/2025,0:8,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724637,Unknown,Unknown
Second Round,Nyergesújfalu,https://www.transfermarkt.com/nyergesujfalu-se/startseite/verein/73200/saison_id/2025,Tatabánya,https://www.transfermarkt.com/tatabanyai-sc/startseite/verein/3395/saison_id/2025,0:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724638,Unknown,Unknown
Second Round,Mezőörs,https://www.transfermarkt.com/mezoors-kse/startseite/verein/100993/saison_id/2025,Haladás MÁV,https://www.transfermarkt.com/szombathelyi-haladas-ii/startseite/verein/33494/saison_id/2025,3:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724639,Unknown,Unknown
Second Round,Mórágyi SE,https://www.transfermarkt.com/moragyi-se/startseite/verein/134542/saison_id/2025,BFC Siófok,https://www.transfermarkt.com/bfc-siofok/startseite/verein/3552/saison_id/2025,1:8,https://www.transfermarkt.com/spielbericht/index/spielbericht/4725002,Unknown,Unknown
Second Round,Sajóbábony,https://www.transfermarkt.com/sajobabony-vse/startseite/verein/37411/saison_id/2025,Eger SE (2008-),https://www.transfermarkt.com/eger-se-2008-/startseite/verein/134740/saison_id/2025,1:4,https://www.transfermarkt.com/spielbericht/index/spielbericht/4734609,Unknown,Unknown
Third Round,Tatabánya,https://www.transfermarkt.com/tatabanyai-sc/startseite/verein/3395/saison_id/2025,Soroksár,https://www.transfermarkt.com/soroksar-sc/startseite/verein/14585/saison_id/2025,0:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4716573,Unknown,Second Tier
Third Round,Eger SE (2008-),https://www.transfermarkt.com/eger-se-2008-/startseite/verein/134740/saison_id/2025,Budafoki MTE,https://www.transfermarkt.com/budafoki-mte/startseite/verein/28410/saison_id/2025,0:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4734610,Unknown,Second Tier
Third Round,Pécsi EAC,https://www.transfermarkt.com/pecsi-eac/startseite/verein/29986/saison_id/2025,III. Kerület,https://www.transfermarkt.com/iii-kerulet-tve-budapest/startseite/verein/26308/saison_id/2025,1:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4724648,Unknown,Unknown
Third Round,V.namény,https://www.transfermarkt.com/vasarosnameny-se/startseite/verein/93273/saison_id/2025,Zalaegerszeg,https://www.transfermarkt.com/zalaegerszegi-te-fc/startseite/verein/1391/saison_id/2025,0:13,https://www.transfermarkt.com/spielbericht/index/spielbericht/4716575,Unknown,First Tier
Third Round,Szajol,https://www.transfermarkt.com/szajol-klk/startseite/verein/59160/saison_id/2025,Paksi FC,https://www.transfermarkt.com/paksi-fc/startseite/verein/12163/saison_id/2025,1:5,https://www.transfermarkt.com/spielbericht/index/spielbericht/4716579,Unknown,First Tier
