id,match_id,map,home_team_score,away_team_score,has_statistics,has_rounds,has_lineups
14325,19016,Mirage,16,8,False,True,True
22416,29189,Inferno,14,16,False,True,True
22417,29189,Vertigo,16,11,False,True,True
22418,29189,Mirage,16,3,False,True,True
22419,29190,Inferno,14,16,False,True,True
22420,29190,Mirage,9,16,False,True,True
22516,29235,Nuke,14,16,False,True,True
22518,29235,Mirage,16,14,False,True,True
22520,29235,Overpass,16,12,False,True,True
22522,29236,Nuke,16,14,False,True,True
22523,29236,Anubis,14,16,False,True,True
22524,29236,Mirage,16,12,False,True,True
22525,29237,Vertigo,16,10,False,True,True
22526,29237,Nuke,16,14,False,True,True
22667,29288,Ancient,8,16,False,True,True
22668,29288,Overpass,16,10,False,True,True
22669,29288,Vertigo,7,16,False,True,True
22670,29289,Inferno,16,12,False,True,True
22671,29289,Ancient,10,16,False,True,True
22672,29289,Overpass,11,16,False,True,True
22673,29291,Vertigo,11,16,False,True,True
22674,29291,Mirage,16,8,False,True,True
22675,29291,Inferno,16,13,False,True,True
22816,29353,Vertigo,6,16,False,True,True
22817,29353,Overpass,16,13,False,True,True
22818,29353,Nuke,12,16,False,True,True
22814,29354,Inferno,16,6,False,True,True
22815,29354,Nuke,16,8,False,False,True
22811,29355,Ancient,7,16,False,True,True
22812,29355,Vertigo,16,9,False,True,True
22813,29355,Overpass,16,2,False,True,True
22970,29538,Anubis,16,9,False,True,True
22971,29538,Nuke,18,22,False,True,True
22972,29538,Vertigo,16,10,False,False,True
22968,29540,Ancient,16,11,False,True,True
22969,29540,Vertigo,16,7,False,True,True
22975,29542,Mirage,10,16,False,True,True
22976,29542,Vertigo,16,8,False,True,True
22978,29542,Overpass,16,6,False,True,True
28439,34105,Overpass,16,7,False,True,True
28443,34105,Anubis,16,12,False,True,True
28617,34195,Vertigo,16.0,3.0,False,True,True
28618,34195,Ancient,,,False,False,False
28619,34196,Vertigo,16,9,False,True,True
28620,34196,Inferno,16,13,False,True,True
28623,34197,Ancient,16.0,9.0,False,True,True
28624,34197,Inferno,,,False,False,False
28621,34198,Overpass,10,16,False,True,True
28622,34198,Inferno,14,16,False,True,True
28813,34306,Mirage,16,10,False,True,True
28810,34307,Mirage,0,16,False,True,True
28814,34309,Ancient,19,17,False,True,True
28815,34310,Inferno,10,16,False,True,True
28816,34311,Mirage,16,9,False,True,True
28817,34311,Inferno,16,12,False,True,True
29765,34922,Ancient,16,12,False,True,True
29766,34922,Mirage,16,7,False,True,True
29770,34923,Ancient,14,16,False,True,True
29771,34923,Nuke,12,16,False,True,True
125513,91506,Nuke,16,9,False,True,True
125515,91506,Mirage,16,4,False,True,True
125509,91506,Overpass,10,16,False,True,True
125521,91508,Nuke,16,12,False,True,True
125520,91508,Mirage,10,16,False,True,True
125518,91508,Dust2,16,9,False,True,True
125689,91618,Mirage,14,16,False,True,True
125693,91618,Dust2,9,16,False,True,True
125797,91683,Train,16,13,False,True,True
125795,91683,Inferno,16,12,False,True,True
125801,91684,Inferno,16,9,False,True,True
125799,91684,Mirage,9,16,False,True,True
125803,91684,Overpass,14,16,False,True,True
125802,91687,Overpass,16,8,False,True,True
125804,91687,Inferno,19,15,False,True,True
140325,99794,,,,False,False,False
140328,99798,,,,False,False,False
140415,99851,,,,False,False,False
140414,99852,,,,False,False,False
140416,99853,,,,False,False,False
140502,99909,,,,False,False,False
140504,99910,,,,False,False,False
140596,99968,,,,False,False,False
140597,99969,,,,False,False,False
140650,100003,,,,False,False,False
153222,107071,,,,False,False,False
153223,107071,,,,False,False,False
153224,107072,,,,False,False,False
153225,107072,,,,False,False,False
153264,107103,,,,False,False,False
153265,107103,,,,False,False,False
153266,107103,,,,False,False,False
153268,107104,,,,False,False,False
153269,107104,,,,False,False,False
153346,107152,,,,False,False,False
153347,107152,,,,False,False,False
153349,107154,,,,False,False,False
153351,107154,,,,False,False,False
125352,91428,Vertigo,16,14,False,True,True
125353,91428,Dust2,16,5,False,True,True
125356,91429,Inferno,16,12,False,True,True
125354,91429,Dust2,16,12,False,True,True
125355,91429,Nuke,14,16,False,True,True
125437,91465,Overpass,16,11,False,True,True
125436,91465,Dust2,16,10,False,True,True
125442,91466,Mirage,16,12,False,True,True
125440,91466,Nuke,16,9,False,True,True
125522,91509,Nuke,16,14,False,True,True
125526,91509,Vertigo,16,14,False,True,True
125524,91509,Dust2,12,16,False,True,True
125525,91510,Nuke,9,16,False,True,True
125523,91510,Mirage,19,17,False,True,True
125527,91510,Dust2,16,9,False,True,True
140326,99796,,,,False,False,False
140329,99799,,,,False,False,False
140330,99800,,,,False,False,False
140417,99854,,,,False,False,False
140420,99857,,,,False,False,False
140506,99912,,,,False,False,False
140507,99913,,,,False,False,False
140510,99914,,,,False,False,False
140598,99972,,,,False,False,False
140599,99973,,,,False,False,False
152702,106738,,,,False,False,False
152703,106738,,,,False,False,False
152700,106739,,,,False,False,False
152701,106739,,,,False,False,False
152836,106814,,,,False,False,False
152838,106814,,,,False,False,False
152845,106816,,,,False,False,False
152846,106816,,,,False,False,False
152847,106816,,,,False,False,False
152932,106877,,,,False,False,False
152933,106877,,,,False,False,False
152937,106881,,,,False,False,False
152939,106881,,,,False,False,False
50189,47928,Inferno,16,14,False,True,True
50190,47928,Mirage,9,16,False,True,True
50191,47928,Overpass,16,7,False,True,True
50192,47929,Vertigo,16,14,False,False,True
50193,47929,Dust2,13,16,False,True,True
50194,47929,Mirage,16,13,False,True,True
50278,47978,Inferno,16,9,False,True,True
50279,47978,Ancient,16,19,False,True,True
50280,47978,Nuke,16,10,False,True,True
78319,64313,Ancient,5,16,False,True,True
78320,64313,Inferno,6,16,False,True,True
78321,64314,Nuke,16,6,False,True,True
78322,64314,Overpass,16,14,False,True,True
78326,64317,Ancient,14,16,False,True,True
78327,64317,Dust2,9,16,False,True,True
94712,73798,Inferno,16,14,False,True,True
94714,73798,Dust2,12,16,False,True,True
94715,73798,Vertigo,12,16,False,True,True
94710,73799,Mirage,22,19,False,True,True
94711,73799,Dust2,13,16,False,True,True
94713,73799,Nuke,9,16,False,True,True
94858,73881,Nuke,6,16,False,True,True
94859,73881,Ancient,10,16,False,True,True
94849,73882,Ancient,16,11,False,True,True
94850,73882,Nuke,14,16,False,True,True
94852,73882,Inferno,5,16,False,True,True
190353,160112,Vertigo,2,0,False,True,True
190360,160112,Overpass,1,0,False,True,True
190370,160112,Aztec,0,3,False,False,True
190385,160117,Overpass,2,0,False,True,True
190397,160117,Anubis,2,0,False,False,True
217228,215893,,,,False,True,True
217242,215893,,,,False,False,False
