Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
59,8raew9whdfuuvsedk0pyiwc5d,9428,Kisvárda,Kisvárda,KIS,Kisvárda,#000000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,9428,6,ZTE vs KIS,false,true,true,false,false,2025-08-30,f07nn7zbxo3vgaimn2v0upxxw,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,Kisvárda,Zalaegerszeg,ZTE,2,1,Played,W 2-1,2560183,ZTE vs KIS (2025-08-30)
59,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,6,DVT vs PUS,false,true,false,true,false,2025-08-30,f1lswr99gjdsuywacgw6lj9xw,amfs0dhjwsobm10en9twg0q,2271,2271,Puskás,Diosgyor,DVT,1,1,Played,T 1-1,2560187,DVT vs PUS (2025-08-30)
59,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,6,DVT vs PUS,true,false,false,true,false,2025-08-30,f1lswr99gjdsuywacgw6lj9xw,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Diosgyor,Puskás,PUS,1,1,Played,T 1-1,2560187,DVT vs PUS (2025-08-30)
65,b3o0wckz4w3fusytybpgxftgm,227,Ferencváros,Ferencváros,FTC,Ferencváros,#023020,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,227,6,DEB vs FTC,false,true,true,false,false,2025-08-31,f1xzuqd9cg1q6vbcf2dg4outw,b7jek1bop3eoughds0xi22tte,225,225,Ferencváros,Debrecen,DEB,3,0,Played,W 3-0,2560188,DEB vs FTC (2025-08-31)
65,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,6,DEB vs FTC,true,false,false,false,true,2025-08-31,f1xzuqd9cg1q6vbcf2dg4outw,b3o0wckz4w3fusytybpgxftgm,227,227,Debrecen,Ferencváros,FTC,0,3,Played,L 0-3,2560188,DEB vs FTC (2025-08-31)
65,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,6,GYO vs NYI,false,true,false,false,true,2025-08-31,f19tjrarse4u26pdiwikhh250,3jvgab7r5m1rqtyxvxrgyuwhd,2713,2713,Nyíregyháza Spartacus,Gyori ETO,GYO,0,1,Played,L 0-1,2560186,GYO vs NYI (2025-08-31)
65,3jvgab7r5m1rqtyxvxrgyuwhd,2713,Gyori ETO,Gyori ETO,GYO,Gyor,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2713,6,GYO vs NYI,true,false,true,false,false,2025-08-31,f19tjrarse4u26pdiwikhh250,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Gyori ETO,Nyíregyháza Spartacus,NYI,1,0,Played,W 1-0,2560186,GYO vs NYI (2025-08-31)
69,b3o0wckz4w3fusytybpgxftgm,227,Ferencváros,Ferencváros,FTC,Ferencváros,#023020,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,227,7,FTC vs DVT,true,false,false,true,false,2025-09-19,f3a5mxzyyfy9urahwnv7mt638,amfs0dhjwsobm10en9twg0q,2271,2271,Ferencváros,Diosgyor,DVT,2,2,Played,T 2-2,2560192,FTC vs DVT (2025-09-19)
69,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,7,FTC vs DVT,false,true,false,true,false,2025-09-19,f3a5mxzyyfy9urahwnv7mt638,b3o0wckz4w3fusytybpgxftgm,227,227,Diosgyor,Ferencváros,FTC,2,2,Played,T 2-2,2560192,FTC vs DVT (2025-09-19)
71,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,7,KAZ vs UJP,false,true,false,false,true,2025-09-20,f2m456fpocrtzqwjumge27384,93jgs8iidqpjpynqao1w1yxrv,6542,6542,Újpest,Kazincbarcika,KAZ,0,2,Played,L 0-2,2560190,KAZ vs UJP (2025-09-20)
71,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,7,NYI vs PAK,false,true,false,true,false,2025-09-20,f2a42rri1kd64so05taim7rpw,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Paks,Nyíregyháza Spartacus,NYI,1,1,Played,T 1-1,2560189,NYI vs PAK (2025-09-20)
71,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,7,PUS vs GYO,true,false,false,false,true,2025-09-20,f3mavqhxpxm358q2r41e0ox78,3jvgab7r5m1rqtyxvxrgyuwhd,2713,2713,Puskás,Gyori ETO,GYO,0,2,Played,L 0-2,2560193,PUS vs GYO (2025-09-20)
71,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,7,NYI vs PAK,true,false,false,true,false,2025-09-20,f2a42rri1kd64so05taim7rpw,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Nyíregyháza Spartacus,Paks,PAK,1,1,Played,T 1-1,2560189,NYI vs PAK (2025-09-20)
71,3jvgab7r5m1rqtyxvxrgyuwhd,2713,Gyori ETO,Gyori ETO,GYO,Gyor,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2713,7,PUS vs GYO,false,true,true,false,false,2025-09-20,f3mavqhxpxm358q2r41e0ox78,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Gyori ETO,Puskás,PUS,2,0,Played,W 2-0,2560193,PUS vs GYO (2025-09-20)
71,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,7,KAZ vs UJP,true,false,true,false,false,2025-09-20,f2m456fpocrtzqwjumge27384,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,Kazincbarcika,Újpest,UJP,2,0,Played,W 2-0,2560190,KAZ vs UJP (2025-09-20)
77,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,7,KIS vs DEB,false,true,true,false,false,2025-09-21,f3y9dm9m7szrmwm0m709uadqs,8raew9whdfuuvsedk0pyiwc5d,9428,9428,Debrecen,Kisvárda,KIS,1,0,Played,W 1-0,2560194,KIS vs DEB (2025-09-21)
77,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,7,MTK vs ZTE,true,false,true,false,false,2025-09-21,f2y6afjch45fhbeedktkf8104,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,MTK,Zalaegerszeg,ZTE,1,0,Played,W 1-0,2560191,MTK vs ZTE (2025-09-21)
77,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,7,MTK vs ZTE,false,true,false,false,true,2025-09-21,f2y6afjch45fhbeedktkf8104,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Zalaegerszeg,MTK,MTK,0,1,Played,L 0-1,2560191,MTK vs ZTE (2025-09-21)
77,8raew9whdfuuvsedk0pyiwc5d,9428,Kisvárda,Kisvárda,KIS,Kisvárda,#000000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,9428,7,KIS vs DEB,true,false,false,false,true,2025-09-21,f3y9dm9m7szrmwm0m709uadqs,b7jek1bop3eoughds0xi22tte,225,225,Kisvárda,Debrecen,DEB,0,1,Played,L 0-1,2560194,KIS vs DEB (2025-09-21)
81,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,8,UJP vs NYI,true,false,false,true,false,2025-09-26,f51233l7smalr15ud22qovgno,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Újpest,Nyíregyháza Spartacus,NYI,2,2,Played,T 2-2,2560197,UJP vs NYI (2025-09-26)
81,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,8,UJP vs NYI,false,true,false,true,false,2025-09-26,f51233l7smalr15ud22qovgno,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,Nyíregyháza Spartacus,Újpest,UJP,2,2,Played,T 2-2,2560197,UJP vs NYI (2025-09-26)
83,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,8,DVT vs DEB,false,true,false,true,false,2025-09-27,hb0hdp7tf654j3zh89ifd3o,amfs0dhjwsobm10en9twg0q,2271,2271,Debrecen,Diosgyor,DVT,0,0,Played,T 0-0,2560200,DVT vs DEB (2025-09-27)
83,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,8,ZTE vs KAZ,true,false,true,false,false,2025-09-27,f4p1ob6rvw6824cg2n2bswnbo,93jgs8iidqpjpynqao1w1yxrv,6542,6542,Zalaegerszeg,Kazincbarcika,KAZ,5,0,Played,W 5-0,2560196,ZTE vs KAZ (2025-09-27)
83,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,8,PAK vs PUS,true,false,true,false,false,2025-09-27,f5d6lx3qk5idtv84xxa97ni1g,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Paks,Puskás,PUS,3,2,Played,W 3-2,2560198,PAK vs PUS (2025-09-27)
83,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,8,PAK vs PUS,false,true,false,false,true,2025-09-27,f5d6lx3qk5idtv84xxa97ni1g,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Puskás,Paks,PAK,2,3,Played,L 2-3,2560198,PAK vs PUS (2025-09-27)
83,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,8,DVT vs DEB,true,false,false,true,false,2025-09-27,hb0hdp7tf654j3zh89ifd3o,b7jek1bop3eoughds0xi22tte,225,225,Diosgyor,Debrecen,DEB,0,0,Played,T 0-0,2560200,DVT vs DEB (2025-09-27)
83,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,8,ZTE vs KAZ,false,true,false,false,true,2025-09-27,f4p1ob6rvw6824cg2n2bswnbo,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,Kazincbarcika,Zalaegerszeg,ZTE,0,5,Played,L 0-5,2560196,ZTE vs KAZ (2025-09-27)
89,b3o0wckz4w3fusytybpgxftgm,227,Ferencváros,Ferencváros,FTC,Ferencváros,#023020,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,227,8,GYO vs FTC,false,true,true,false,false,2025-09-28,59vzdshfdy0446k8471r9jo,3jvgab7r5m1rqtyxvxrgyuwhd,2713,2713,Ferencváros,Gyori ETO,GYO,2,0,Played,W 2-0,2560199,GYO vs FTC (2025-09-28)
89,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,8,MTK vs KIS,true,false,true,false,false,2025-09-28,f4c209qj78qsu1b2t1t67vk0k,8raew9whdfuuvsedk0pyiwc5d,9428,9428,MTK,Kisvárda,KIS,4,0,Played,W 4-0,2560195,MTK vs KIS (2025-09-28)
89,8raew9whdfuuvsedk0pyiwc5d,9428,Kisvárda,Kisvárda,KIS,Kisvárda,#000000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,9428,8,MTK vs KIS,false,true,false,false,true,2025-09-28,f4c209qj78qsu1b2t1t67vk0k,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Kisvárda,MTK,MTK,0,4,Played,L 0-4,2560195,MTK vs KIS (2025-09-28)
89,3jvgab7r5m1rqtyxvxrgyuwhd,2713,Gyori ETO,Gyori ETO,GYO,Gyor,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2713,8,GYO vs FTC,true,false,false,false,true,2025-09-28,59vzdshfdy0446k8471r9jo,b3o0wckz4w3fusytybpgxftgm,227,227,Gyori ETO,Ferencváros,FTC,0,2,Played,L 0-2,2560199,GYO vs FTC (2025-09-28)
93,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,9,KAZ vs MTK,false,true,false,false,true,2025-10-03,15s0if0vtwqotgt75wu0k3dg,93jgs8iidqpjpynqao1w1yxrv,6542,6542,MTK,Kazincbarcika,KAZ,1,3,Played,L 1-3,2560202,KAZ vs MTK (2025-10-03)
93,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,9,KAZ vs MTK,true,false,true,false,false,2025-10-03,15s0if0vtwqotgt75wu0k3dg,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Kazincbarcika,MTK,MTK,3,1,Played,W 3-1,2560202,KAZ vs MTK (2025-10-03)
95,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,9,PUS vs UJP,false,true,false,true,false,2025-10-04,26l87vmiq0bqkk0erhzeav4k,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Újpest,Puskás,PUS,0,0,Played,T 0-0,2560205,PUS vs UJP (2025-10-04)
95,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,9,DEB vs GYO,true,false,false,true,false,2025-10-04,1hznrjr58grp41mkmquqfk7o,3jvgab7r5m1rqtyxvxrgyuwhd,2713,2713,Debrecen,Gyori ETO,GYO,1,1,Played,T 1-1,2560203,DEB vs GYO (2025-10-04)
95,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,9,NYI vs ZTE,false,true,false,false,true,2025-10-04,tkqit1dkx1lryqkqm6cst1w,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Zalaegerszeg,Nyíregyháza Spartacus,NYI,1,3,Played,L 1-3,2560201,NYI vs ZTE (2025-10-04)
95,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,9,PUS vs UJP,true,false,false,true,false,2025-10-04,26l87vmiq0bqkk0erhzeav4k,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,Puskás,Újpest,UJP,0,0,Played,T 0-0,2560205,PUS vs UJP (2025-10-04)
95,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,9,NYI vs ZTE,true,false,true,false,false,2025-10-04,tkqit1dkx1lryqkqm6cst1w,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,Nyíregyháza Spartacus,Zalaegerszeg,ZTE,3,1,Played,W 3-1,2560201,NYI vs ZTE (2025-10-04)
95,3jvgab7r5m1rqtyxvxrgyuwhd,2713,Gyori ETO,Gyori ETO,GYO,Gyor,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2713,9,DEB vs GYO,false,true,false,true,false,2025-10-04,1hznrjr58grp41mkmquqfk7o,b7jek1bop3eoughds0xi22tte,225,225,Gyori ETO,Debrecen,DEB,1,1,Played,T 1-1,2560203,DEB vs GYO (2025-10-04)
101,b3o0wckz4w3fusytybpgxftgm,227,Ferencváros,Ferencváros,FTC,Ferencváros,#023020,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,227,9,FTC vs PAK,true,false,false,true,false,2025-10-05,1ua15v312h37aljy6f09ug44,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Ferencváros,Paks,PAK,2,2,Played,T 2-2,2560204,FTC vs PAK (2025-10-05)
101,8raew9whdfuuvsedk0pyiwc5d,9428,Kisvárda,Kisvárda,KIS,Kisvárda,#000000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,9428,9,KIS vs DVT,true,false,true,false,false,2025-10-05,2iucvguchssg6ru6u98jszkk,amfs0dhjwsobm10en9twg0q,2271,2271,Kisvárda,Diosgyor,DVT,1,0,Played,W 1-0,2560206,KIS vs DVT (2025-10-05)
101,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,9,FTC vs PAK,false,true,false,true,false,2025-10-05,1ua15v312h37aljy6f09ug44,b3o0wckz4w3fusytybpgxftgm,227,227,Paks,Ferencváros,FTC,2,2,Played,T 2-2,2560204,FTC vs PAK (2025-10-05)
101,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,9,KIS vs DVT,false,true,false,false,true,2025-10-05,2iucvguchssg6ru6u98jszkk,8raew9whdfuuvsedk0pyiwc5d,9428,9428,Diosgyor,Kisvárda,KIS,0,1,Played,L 0-1,2560206,KIS vs DVT (2025-10-05)
105,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,10,PAK vs DEB,false,true,false,true,false,2025-10-18,48qghdae0smi4kp132l71gr8,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Debrecen,Paks,PAK,1,1,Played,T 1-1,2560211,PAK vs DEB (2025-10-18)
105,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,10,MTK vs NYI,true,false,true,false,false,2025-10-18,37lizwj7lsj9xs37fqcgaqs4,1cfck1c4i89gm3xx02d5xsl81,2717,2717,MTK,Nyíregyháza Spartacus,NYI,5,1,Played,W 5-1,2560208,MTK vs NYI (2025-10-18)
105,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,10,PAK vs DEB,true,false,false,true,false,2025-10-18,48qghdae0smi4kp132l71gr8,b7jek1bop3eoughds0xi22tte,225,225,Paks,Debrecen,DEB,1,1,Played,T 1-1,2560211,PAK vs DEB (2025-10-18)
105,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,10,GYO vs DVT,false,true,false,false,true,2025-10-18,4mvmzh9e36p4m749hla2hmhg,3jvgab7r5m1rqtyxvxrgyuwhd,2713,2713,Diosgyor,Gyori ETO,GYO,1,3,Played,L 1-3,2560212,GYO vs DVT (2025-10-18)
105,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,10,MTK vs NYI,false,true,false,false,true,2025-10-18,37lizwj7lsj9xs37fqcgaqs4,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Nyíregyháza Spartacus,MTK,MTK,1,5,Played,L 1-5,2560208,MTK vs NYI (2025-10-18)
105,3jvgab7r5m1rqtyxvxrgyuwhd,2713,Gyori ETO,Gyori ETO,GYO,Gyor,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2713,10,GYO vs DVT,true,false,true,false,false,2025-10-18,4mvmzh9e36p4m749hla2hmhg,amfs0dhjwsobm10en9twg0q,2271,2271,Gyori ETO,Diosgyor,DVT,3,1,Played,W 3-1,2560212,GYO vs DVT (2025-10-18)
111,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,10,UJP vs FTC,true,false,false,true,false,2025-10-19,3wiqvqrjzfwlw23gwhhvk4d0,b3o0wckz4w3fusytybpgxftgm,227,227,Újpest,Ferencváros,FTC,1,1,Played,T 1-1,2560210,UJP vs FTC (2025-10-19)
111,b3o0wckz4w3fusytybpgxftgm,227,Ferencváros,Ferencváros,FTC,Ferencváros,#023020,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,227,10,UJP vs FTC,false,true,false,true,false,2025-10-19,3wiqvqrjzfwlw23gwhhvk4d0,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,Ferencváros,Újpest,UJP,1,1,Played,T 1-1,2560210,UJP vs FTC (2025-10-19)
111,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,10,ZTE vs PUS,true,false,false,false,true,2025-10-19,3k1cvev7204bxklrv5okjbpw,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,Zalaegerszeg,Puskás,PUS,0,1,Played,L 0-1,2560209,ZTE vs PUS (2025-10-19)
111,8raew9whdfuuvsedk0pyiwc5d,9428,Kisvárda,Kisvárda,KIS,Kisvárda,#000000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,9428,10,KAZ vs KIS,false,true,true,false,false,2025-10-19,2v6nuya7pwbnmdumrg59v4lw,93jgs8iidqpjpynqao1w1yxrv,6542,6542,Kisvárda,Kazincbarcika,KAZ,1,0,Played,W 1-0,2560207,KAZ vs KIS (2025-10-19)
111,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,10,ZTE vs PUS,false,true,true,false,false,2025-10-19,3k1cvev7204bxklrv5okjbpw,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,Puskás,Zalaegerszeg,ZTE,1,0,Played,W 1-0,2560209,ZTE vs PUS (2025-10-19)
111,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,10,KAZ vs KIS,true,false,false,false,true,2025-10-19,2v6nuya7pwbnmdumrg59v4lw,8raew9whdfuuvsedk0pyiwc5d,9428,9428,Kazincbarcika,Kisvárda,KIS,0,1,Played,L 0-1,2560207,KAZ vs KIS (2025-10-19)
117,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,11,PUS vs MTK,false,true,false,true,false,2025-10-25,6cxbthff5ek5vz64k910989g,7gmb3yf0l30i996xp4cqt5u9p,8746,8746,MTK,Puskás,PUS,1,1,Played,T 1-1,2560217,PUS vs MTK (2025-10-25)
117,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,11,DVT vs PAK,false,true,false,false,true,2025-10-25,5bsvse3dgaxnm7pnefas7h1w,amfs0dhjwsobm10en9twg0q,2271,2271,Paks,Diosgyor,DVT,1,2,Played,L 1-2,2560214,DVT vs PAK (2025-10-25)
117,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,11,PUS vs MTK,true,false,false,true,false,2025-10-25,6cxbthff5ek5vz64k910989g,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Puskás,MTK,MTK,1,1,Played,T 1-1,2560217,PUS vs MTK (2025-10-25)
117,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,11,DVT vs PAK,true,false,true,false,false,2025-10-25,5bsvse3dgaxnm7pnefas7h1w,e86hbyj6fwyumuwoiaglh33r5,2718,2718,Diosgyor,Paks,PAK,2,1,Played,W 2-1,2560214,DVT vs PAK (2025-10-25)
117,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,11,NYI vs KAZ,true,false,false,false,true,2025-10-25,4zfs7tr8dts2ezfgllb0zcic,93jgs8iidqpjpynqao1w1yxrv,6542,6542,Nyíregyháza Spartacus,Kazincbarcika,KAZ,0,1,Played,L 0-1,2560213,NYI vs KAZ (2025-10-25)
117,93jgs8iidqpjpynqao1w1yxrv,6542,Kazincbarcika,Kazincbarcika,KAZ,Kazincbarcika,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,6542,11,NYI vs KAZ,false,true,true,false,false,2025-10-25,4zfs7tr8dts2ezfgllb0zcic,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Kazincbarcika,Nyíregyháza Spartacus,NYI,1,0,Played,W 1-0,2560213,NYI vs KAZ (2025-10-25)
123,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,11,DEB vs UJP,false,true,false,false,true,2025-10-26,5oa9vx7msscoysxryq8a1qfo,b7jek1bop3eoughds0xi22tte,225,225,Újpest,Debrecen,DEB,2,5,Played,L 2-5,2560215,DEB vs UJP (2025-10-26)
