Date,Home,Away,HomeGoals,AwayGoals,Match_URL,HomePoints,AwayPoints,HomePointsDropped,AwayPointsDropped
2025-02-02,Debrecen,Nyíregyháza,3,1,https://fbref.com/en/matches/cc8622e2/Debrecen-Nyiregyhaza-February-2-2025-NB-I,3,0,0.0,0.0
2025-02-02,Kecskemét,Zalaegerszeg,1,0,https://fbref.com/en/matches/0a3d667e/Kecskemet-Zalaegerszeg-February-2-2025-NB-I,3,0,0.0,0.0
2025-02-02,Ferencváros,MTK Budapest,0,0,https://fbref.com/en/matches/e87b2535/Ferencvaros-MTK-Budapest-February-2-2025-NB-I,1,1,0.0,0.0
2025-02-05,Zalaegerszeg,Ferencváros,2,2,https://fbref.com/en/matches/d2b3d7be/Zalaegerszeg-Ferencvaros-February-5-2025-NB-I,1,1,2.0,2.0
2025-02-07,MTK Budapest,Debrecen,0,2,https://fbref.com/en/matches/9ed1ec18/MTK-Budapest-Debrecen-February-7-2025-NB-I,0,3,0.0,0.0
2025-02-08,Nyíregyháza,Kecskemét,0,0,https://fbref.com/en/matches/46a34715/Nyiregyhaza-Kecskemet-February-8-2025-NB-I,1,1,0.0,0.0
2025-02-08,Paks,Vidi,2,0,https://fbref.com/en/matches/f128a6c0/Paks-Vidi-February-8-2025-NB-I,3,0,0.0,0.0
2025-02-08,Győr,Újpest,3,0,https://fbref.com/en/matches/41eafef5/Gyor-Ujpest-February-8-2025-NB-I,3,0,0.0,0.0
2025-02-09,Zalaegerszeg,Diósgyőr,2,1,https://fbref.com/en/matches/d925295d/Zalaegerszeg-Diosgyor-February-9-2025-NB-I,3,0,0.0,3.0
2025-02-09,Puskás,Ferencváros,1,0,https://fbref.com/en/matches/6eceac24/Puskas-Akademia-Ferencvaros-February-9-2025-NB-I,3,0,0.0,0.0
2025-02-14,Vidi,Győr,0,1,https://fbref.com/en/matches/8c08580d/Vidi-Gyor-February-14-2025-NB-I,0,3,0.0,0.0
2025-02-15,Kecskemét,MTK Budapest,5,0,https://fbref.com/en/matches/952e6d96/Kecskemet-MTK-Budapest-February-15-2025-NB-I,3,0,0.0,0.0
2025-02-15,Diósgyőr,Nyíregyháza,1,2,https://fbref.com/en/matches/afd66926/Diosgyor-Nyiregyhaza-February-15-2025-NB-I,0,3,0.0,0.0
2025-02-15,Debrecen,Puskás,1,2,https://fbref.com/en/matches/8f2d3660/Debrecen-Puskas-Akademia-February-15-2025-NB-I,0,3,3.0,0.0
2025-02-16,Újpest,Zalaegerszeg,1,2,https://fbref.com/en/matches/69f50e1a/Ujpest-Zalaegerszeg-February-16-2025-NB-I,0,3,3.0,0.0
2025-02-16,Ferencváros,Paks,0,2,https://fbref.com/en/matches/339387e5/Ferencvaros-Paks-February-16-2025-NB-I,0,3,0.0,0.0
2025-02-21,MTK Budapest,Diósgyőr,4,0,https://fbref.com/en/matches/e0011cc2/MTK-Budapest-Diosgyor-February-21-2025-NB-I,3,0,0.0,0.0
2025-02-22,Puskás,Kecskemét,4,2,https://fbref.com/en/matches/d44d0464/Puskas-Akademia-Kecskemet-February-22-2025-NB-I,3,0,0.0,0.0
2025-02-22,Paks,Debrecen,4,3,https://fbref.com/en/matches/0fc047eb/Paks-Debrecen-February-22-2025-NB-I,3,0,0.0,0.0
2025-02-22,Nyíregyháza,Újpest,0,0,https://fbref.com/en/matches/a93f9db1/Nyiregyhaza-Ujpest-February-22-2025-NB-I,1,1,0.0,0.0
2025-02-23,Győr,Zalaegerszeg,2,0,https://fbref.com/en/matches/efecaf5f/Gyor-Zalaegerszeg-February-23-2025-NB-I,3,0,0.0,0.0
2025-02-23,Vidi,Ferencváros,1,3,https://fbref.com/en/matches/c3eb20b7/Vidi-Ferencvaros-February-23-2025-NB-I,0,3,0.0,0.0
2025-03-01,Zalaegerszeg,Nyíregyháza,0,0,https://fbref.com/en/matches/45765255/Zalaegerszeg-Nyiregyhaza-March-1-2025-NB-I,1,1,0.0,0.0
2025-03-01,Diósgyőr,Puskás,2,1,https://fbref.com/en/matches/578a070c/Diosgyor-Puskas-Akademia-March-1-2025-NB-I,3,0,0.0,0.0
2025-03-01,Újpest,MTK Budapest,1,5,https://fbref.com/en/matches/401c8d22/Ujpest-MTK-Budapest-March-1-2025-NB-I,0,3,0.0,0.0
2025-03-02,Debrecen,Vidi,1,2,https://fbref.com/en/matches/d3fb2a53/Debrecen-Vidi-March-2-2025-NB-I,0,3,0.0,0.0
