time,player,team,score,HomeGoals,AwayGoals,match_id
 45,Aleksandar Pešić,Ferencváros,2:0,2,0,155
 87,Elton Acolatse,Diósgyőr,1:1,1,1,156
 89,Bright Edomwonyi,Diósgyőr,2:1,2,1,156
 37,Barna Tóth,Paks,0:1,0,1,157
 75,István Bognár,MTK Budapest,1:1,1,1,157
 77,Dániel Böde,Paks,1:2,1,2,157
 85,Mamady Diarra,Győr,1:0,1,0,158
 79,Gábor Szalai,Ferencváros,0:1,0,1,159
 84,Saldanha,Ferencváros,0:2,0,2,159
 48,Giorgi Beridze,Újpest,1:0,1,0,160
 57,Damian Rasak,Újpest,2:0,2,0,160
 62,Donát Bárány,Debrecen,2:1,2,1,160
 72,Krisztián Keresztes,Nyíregyháza,1:0,1,0,161
 5,Donát Bárány,Debrecen,1:0,1,0,162
 25,Gergely Mim,Zalaegerszeg,1:1,1,1,162
 29,Ábel Krajcsovics,Zalaegerszeg,1:2,1,2,162
 52,Tamás Szűcs,Debrecen,2:2,2,2,162
 81,Jack Ipalibo,Zalaegerszeg,2:3,2,3,162
 88,Brandon Domingues,Debrecen,3:3,3,3,162
90+6,Brandon Domingues,Debrecen,4:3,4,3,162
 8,Kevin Bánáti,Győr,0:1,0,1,163
 19,Claudiu Bumba,Győr,0:2,0,2,163
 30,Dániel Gera,Diósgyőr,1:2,1,2,163
 40,Milán Vitális,Győr,1:3,1,3,163
 67,Bright Edomwonyi,Diósgyőr,2:3,2,3,163
 86,Samsindin Ouro,Győr,2:4,2,4,163
 32,Zsolt Nagy,Puskás Akadémia,1:1,1,1,164
 73,Barna Tóth,Paks,2:1,2,1,164
90+2,Joel Fameyeh,Puskás Akadémia,2:2,2,2,164
 75,Nicolás Stefanelli,Vidi,1:0,1,0,165
 81,Marin Jurina,MTK Budapest,1:1,1,1,165
 2,Aleksandar Pešić,Ferencváros,1:0,1,0,166
 18,Saldanha,Ferencváros,2:0,2,0,166
 35,Aleksandar Pešić,Ferencváros,3:0,3,0,166
 53,Saldanha,Ferencváros,4:0,4,0,166
 58,Alex Tóth,Ferencváros,5:0,5,0,166
 81,Lenny Joseph,Ferencváros,6:0,6,0,166
 84,Barnabás Varga,Ferencváros,7:0,7,0,166
 27,Lamin Colley,Puskás Akadémia,1:0,1,0,169
45+1,Jonathan Levi,Puskás Akadémia,2:0,2,0,169
 76,Laros Duarte,Puskás Akadémia,3:0,3,0,169
 88,Lirim Kastrati,Vidi,3:1,3,1,169
 66,Samsindin Ouro,Győr,1:0,1,0,170
 87,Daniel Štefulj,Győr,2:0,2,0,170
 48,Tom Lacoux,Újpest,1:0,1,0,171
 68,Bence Szakos,Diósgyőr,1:1,1,1,171
 9,Stefan Gartenmann,Ferencváros,0:1,0,1,172
 13,Gábor Szalai,Ferencváros,0:2,0,2,172
 39,Aleksandar Pešić,Ferencváros,0:3,0,3,172
 58,Marin Jurina,MTK Budapest,1:3,1,3,172
 63,Róbert Polievka,MTK Budapest,2:3,2,3,172
 52,Samsindin Ouro,Győr,0:1,0,1,174
 71,Claudiu Bumba,Győr,0:2,0,2,174
 84,János Szépe,Győr,1:3,1,3,174
90+3,Matija Ljujić,Újpest,2:3,2,3,174
 52,Barnabás Varga,Ferencváros,1:1,1,1,176
 58,Marko Rakonjac,Diósgyőr,1:0,1,0,177
 80,Jack Ipalibo,Zalaegerszeg,1:1,1,1,177
 1,Péter Beke,Nyíregyháza,0:1,0,1,178
 73,Cristóbal Montiel,Kecskemét,1:1,1,1,178
 74,Dominik Nagy,Nyíregyháza,1:2,1,2,178
90+3,Levente Katona,Kecskemét,2:2,2,2,178
 44,Dániel Böde,Paks,0:1,0,1,179
 81,Bence Ötvös,Paks,0:2,0,2,179
 51,Miljan Krpić,Győr,1:0,1,0,180
 10,Jonathan Levi,Puskás Akadémia,1:0,1,0,181
 37,Zsolt Nagy,Puskás Akadémia,2:0,2,0,181
 79,Amos Youga,Debrecen,2:1,2,1,181
 88,Jonathan Levi,Puskás Akadémia,3:1,3,1,181
90+4,Shedrach Kaye,Debrecen,3:2,3,2,181
90+8,Kevin Mondovics,Puskás Akadémia,4:2,4,2,181
 36,Marin Jurina,MTK Budapest,1:0,1,0,182
 52,Gergő Pálinkás,Kecskemét,1:1,1,1,182
 72,Róbert Polievka,MTK Budapest,2:1,2,1,182
 27,Gergő Gyurkits,Paks,1:0,1,0,183
 57,Gábor Szalai,Ferencváros,1:1,1,1,183
 72,Lenny Joseph,Ferencváros,1:2,1,2,183
 89,Kristóf Hinora,Paks,2:2,2,2,183
90+3,Lenny Joseph,Ferencváros,2:3,2,3,183
 70,Márton Eppel,Nyíregyháza,1:0,1,0,185
 83,Jakub Plšek,Puskás Akadémia,0:1,0,1,186
 25,Krisztofer Horváth,Újpest,1:0,1,0,187
 29,Márton Eppel,Nyíregyháza,1:1,1,1,187
 60,Milán Kovács,Nyíregyháza,1:2,1,2,187
 68,Fran Brodić,Újpest,2:2,2,2,187
 17,Zsombor Gruber,MTK Budapest,0:1,0,1,189
 49,Marko Rakonjac,Diósgyőr,1:1,1,1,189
 66,Kevin Kállai,Diósgyőr,2:1,2,1,189
 12,Stefan Gartenmann,Ferencváros,1:0,1,0,191
 51,Aleksandar Pešić,Ferencváros,2:0,2,0,191
 82,Alex Tóth,Ferencváros,3:0,3,0,191
90+2,Milán Májer,Kecskemét,1:1,1,1,192
 1,Matija Ljujić,Újpest,0:1,0,1,193
 27,Artúr Horváth,MTK Budapest,1:1,1,1,193
45+1,Krisztofer Horváth,Újpest,1:2,1,2,193
 56,Giorgi Beridze,Újpest,1:3,1,3,193
 21,Soma Szuhodovszki,Debrecen,0:1,0,1,194
 66,Maximilian Hofmann,Debrecen,0:2,0,2,194
 84,Maurides,Debrecen,0:3,0,3,194
45+1,Gábor Szalai,Ferencváros,0:1,0,1,195
 54,Lenny Joseph,Ferencváros,0:2,0,2,195
 80,Miljan Krpić,Győr,1:2,1,2,195
 22,Jonathan Levi,Puskás Akadémia,1:0,1,0,196
 42,Elton Acolatse,Diósgyőr,1:1,1,1,196
 51,Dániel Gera,Diósgyőr,1:2,1,2,196
 71,Jonathan Levi,Puskás Akadémia,2:2,2,2,196
 81,Alen Martin Skribek,Diósgyőr,2:3,2,3,196
 89,Jakub Plšek,Puskás Akadémia,3:3,3,3,196
90+3,Jakub Plšek,Puskás Akadémia,4:3,4,3,196
