name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelWon,outfielderBlock,interceptionWon,wasFouled,totalTackle,wonTackle,aerialLost,duelLost,challengeLost,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,goals,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,goalAssist,totalCross,accurateCross,dispossessed,unsuccessfulTouch,shotOffTarget,bigChanceCreated,bigChanceMissed,hitWoodwork,sofascoreId,savedShotsFromInsideTheBox,totalOffside
Chris Wood,chris-wood,C. Wood,F,11,191.0,7744,M,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",30.0,25.0,,,4.0,5.0,21.0,25.0,1.0,4.0,,,,90.0,42.0,7.4,11.0,0.0886835,"{'original': 7.4, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,,,,,6.0,9.0,,2.0,1.0,1.0,1.0,1.0,,0.4354,0.5693,4.0,,,,,,2.0,3.0,,,,,wodsy39,,
Neco Williams,williams-neco,N. Williams,D,3,183.0,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",16.0,10.0,2.0,,3.0,5.0,8.0,18.0,,5.0,,,,28.0,33.0,6.3,16.0,0.0233635,"{'original': 6.3, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,7.0,,,2.0,3.0,1.0,3.0,6.0,1.0,3.0,1.0,,,,1.0,,,,,,,7.0,1.0,,,,,,,,,
Brandon Aguilera,brandon-aguilera,B. Aguilera,M,10,180.0,919,M,1020203,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,1056758400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'براندون أغويليرا', 'hi': 'ब्रैंडन एगुइलेरा', 'bn': 'ব্র্যান্ডন আগুইলেরা'}, 'shortNameTranslation': {'ar': 'ب. أغويليرا', 'hi': 'बी. एगुइलेरा', 'bn': 'বি. আগুইলেরা'}}",8.0,4.0,,,1.0,2.0,3.0,6.0,,,,,,15.0,11.0,6.3,5.0,0.00168891,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,
Odysseas Vlachodimos,odysseas-vlachodimos,O. Vlachodimos,G,1,191.0,2945,M,138149,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,767318400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوديسياس فلاكوديموس', 'hi': 'ओडिसीस व्लाचोदिमोस', 'bn': 'ওডেসিয়াস ভ্লাচোডিমোস'}, 'shortNameTranslation': {'ar': 'أ. فلاكوديموس', 'hi': 'ओ. व्लाचोदिमोस', 'bn': 'ও. ভ্লাচোডিমোস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183.0,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Worrall,joe-worrall,J. Worrall,D,4,193.0,313,M,838399,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,852854400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وورال', 'hi': 'जो वॉरल', 'bn': 'জো ওয়ারাল'}, 'shortNameTranslation': {'ar': 'ج. وورال', 'hi': 'जे. वॉरल', 'bn': 'জে. ওয়ারাল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott McKenna,scott-mckenna,S. McKenna,D,26,188.0,950,M,358108,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,847756800,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت ماكنيا', 'hi': 'स्कॉट मैककेना', 'bn': 'স্কট ম্যাককেনা'}, 'shortNameTranslation': {'ar': 'س. ماكنيا', 'hi': 'एस. मैककेना', 'bn': 'এস. ম্যাককেনা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie McDonnell,jamie-mcdonnell,J. McDonnell,M,15,183.0,93,M,1136418,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1076889600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي ماكدونيل', 'hi': 'जेमी मैकडॉनेल', 'bn': 'জেমি ম্যাকডোনেল'}, 'shortNameTranslation': {'ar': 'ج. ماكدونيل', 'hi': 'जे. मैकडॉनेल', 'bn': 'জে. ম্যাকডোনেল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Gardner,joe-gardner,J. Gardner,M,28,181.0,106,M,1136420,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1118016000,"{'value': 205000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غاردنر', 'hi': 'जो गार्डनर', 'bn': 'জো গার্ডনার'}, 'shortNameTranslation': {'ar': 'ج. غاردنر', 'hi': 'जे. गार्डनर', 'bn': 'জে গার্ডনার'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detlef Esapa Osong,osong-detlef-esapa,D. E. Osong,F,24,,58,M,1176429,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095724800,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديتليف إسابا أوسونج', 'hi': 'ओसोंग, डेटलेफ़ एसापा', 'bn': 'ওসোংক, ডেটলেফ এসাপা'}, 'shortNameTranslation': {'ar': 'د. إ. أوسونج', 'hi': 'डी.एस. ओसोंग', 'bn': 'ডি. ই. ওসং'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
