Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,Tckl,Int,PsInA3rd,Passes in the Final Third,HighTOEndGoal,HighTOEndShot,HighTurnoversOP,HighTurnovers,PPDA,Sequences,Seq9+Pass,AvgSeqPass,DirectSpeed,Pass%,PsCmp,PsAtt,BgChncCrtd,BgChnc,TchsA3%,TchsA3,TouchOpBox,FldTilt,Poss%,xGOT,xG Diff,xG,Goal,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
31,4pz87gsel7183b7kcadw1dwzv,368,France,France,FRA,France,#0000FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,19,7,63,63,0,2,10,11,17.70,125,22,4.7,1.22,87.8%,505,575,4,4,19.1%,139,19,53.7%,52.8%,2.06,1.23,1.79,3,368,1,FRA vs SEN,true,false,true,false,false,2026-06-16,cqsflhc7vaul90l2d4ipzzzmc,2wk1549tkz80oet8226euj7jp,1226,1226,France,Senegal,SEN,3,1,Played,W 3-1,2608257,FRA vs SEN (2026-06-16)
31,e1vf7kzswllumuykwezkrbo70,363,Norway,Norway,NOR,Norway,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,15,2,43,56,1,3,7,10,8.87,123,18,4.6,0.94,88.8%,477,537,2,5,21.1%,150,25,57.4%,61.3%,2.65,1.72,2.52,4,363,1,IRQ vs NOR,false,true,true,false,false,2026-06-16,dk9nrrzts19sez2hpbxx7soic,7u6a9femhquay3jnk6ysgiwx9,1800,1800,Norway,Iraq,IRQ,4,1,Played,W 4-1,2608258,IRQ vs NOR (2026-06-16)
31,2wk1549tkz80oet8226euj7jp,1226,Senegal,Senegal,SEN,Senegal,#009933,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,14,8,83,48,0,1,7,10,26.06,135,17,3.9,1.40,85.7%,430,502,1,2,15.9%,107,13,46.3%,47.2%,0.17,-1.23,0.56,1,1226,1,FRA vs SEN,false,true,false,false,true,2026-06-16,cqsflhc7vaul90l2d4ipzzzmc,4pz87gsel7183b7kcadw1dwzv,368,368,Senegal,France,FRA,1,3,Played,L 1-3,2608257,FRA vs SEN (2026-06-16)
31,7u6a9femhquay3jnk6ysgiwx9,1800,Iraq,Iraq,IRQ,Iraq,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,19,5,74,33,0,1,6,7,22.20,115,9,3.1,1.09,81.1%,271,334,1,1,18.1%,92,18,42.6%,38.7%,0.60,-1.72,0.80,1,1800,1,IRQ vs NOR,true,false,false,false,true,2026-06-16,dk9nrrzts19sez2hpbxx7soic,e1vf7kzswllumuykwezkrbo70,363,363,Iraq,Norway,NOR,1,4,Played,L 1-4,2608258,IRQ vs NOR (2026-06-16)
31,cubclbw5k5gdqdau95bnav0nn,1042,IR Iran,IR Iran,IRN,Iran,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,17,11,67,64,1,5,10,10,14.28,152,11,2.9,1.40,76.8%,314,409,1,2,21.9%,133,25,52.6%,49.0%,1.72,0.26,1.50,2,1042,1,IRN vs NZL,true,false,false,true,false,2026-06-16,c4kuk30dj016i6gjwxw4clnh0,bhu61cgwm07e2pik1jqmnztgl,1804,1804,IR Iran,New Zealand,NZL,2,2,Played,T 2-2,2608254,IRN vs NZL (2026-06-16)
31,bhu61cgwm07e2pik1jqmnztgl,1804,New Zealand,New Zealand,NZL,New Zealand,#000000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,13,15,72,55,0,2,8,10,10.87,139,14,3.3,1.64,84.3%,376,446,2,2,21.2%,138,21,47.4%,51.0%,1.00,-0.26,1.24,2,1804,1,IRN vs NZL,false,true,false,true,false,2026-06-16,c4kuk30dj016i6gjwxw4clnh0,cubclbw5k5gdqdau95bnav0nn,1042,1042,New Zealand,IR Iran,IRN,2,2,Played,T 2-2,2608254,IRN vs NZL (2026-06-16)
37,ck8m1cn23sukwsurgx5qakttk,114,England,England,ENG,England,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,9,7,71,42,0,2,7,8,13.23,128,16,3.9,0.78,85.7%,406,474,4,7,17.3%,111,38,48.2%,51.5%,3.33,2.52,3.22,4,114,1,ENG vs CRO,true,false,true,false,false,2026-06-17,jx85i5ao3wvsb8opsu0ic1sk,4njsfszcgd9m765d6suktsz2a,535,535,England,Croatia,CRO,4,2,Played,W 4-2,2608263,ENG vs CRO (2026-06-17)
37,4njsfszcgd9m765d6suktsz2a,535,Croatia,Croatia,CRO,Croatia,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,11,9,48,55,0,3,8,11,20.75,114,16,4.1,0.89,86.0%,381,443,1,2,18.9%,113,16,51.8%,48.5%,0.51,-2.52,0.70,2,535,1,ENG vs CRO,false,true,false,false,true,2026-06-17,jx85i5ao3wvsb8opsu0ic1sk,ck8m1cn23sukwsurgx5qakttk,114,114,Croatia,England,ENG,2,4,Played,L 2-4,2608263,ENG vs CRO (2026-06-17)
37,61g4epojd5f198lv1sje27yh3,515,Austria,Austria,AUT,Austria,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,17,15,60,82,0,1,8,13,6.45,150,21,4.1,1.17,84.0%,487,580,1,4,22.7%,177,28,59.9%,62.7%,1.29,1.23,1.69,3,515,1,AUT vs JOR,true,false,true,false,false,2026-06-17,67uqo1wgdcka1yxqltbiqxn9w,btn8ibf55ovz7y252vdiprbip,1843,1843,Austria,Jordan,JOR,3,1,Played,W 3-1,2608260,AUT vs JOR (2026-06-17)
37,9bix8nlt6cgbson25qntg2zzh,1219,Ghana,Ghana,GHA,Ghana,#CC0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,16,8,73,19,0,0,6,8,25.32,136,8,2.8,1.87,83.0%,292,352,1,1,20.1%,113,14,39.1%,38.4%,1.04,0.52,1.25,1,1219,1,GHA vs PAN,true,false,true,false,false,2026-06-17,1ewge3gy7siiimkd64tawg1zo,8856r86rattc8kxn6a0l9tb2t,1869,1869,Ghana,Panama,PAN,1,0,Played,W 1-0,2608264,GHA vs PAN (2026-06-17)
37,8gxg8f7p9299jbrz30u8bsc7g,359,Portugal,Portugal,POR,Portugal,#CC0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,12,3,47,109,0,1,4,6,7.22,124,29,6.6,0.97,92.5%,724,783,0,0,25.2%,237,29,74.1%,74.8%,0.53,-0.22,0.65,1,359,1,POR vs COD,true,false,false,true,false,2026-06-17,aa59tfi9hkmjec05olroia13o,dd4ko7d3muqheb54u1s9k39p3,1222,1222,Portugal,Congo DR,COD,1,1,Played,T 1-1,2608261,POR vs COD (2026-06-17)
