name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,aerialLost,aerialWon,duelLost,challengeLost,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,fouls,accurateLongBalls,unsuccessfulTouch,keyPass,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,bigChanceCreated,blockedScoringAttempt,goalAssist,accurateCross,penaltyWon,outfielderBlock,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Taiwo Awoniyi,,,taiwo-awoniyi,T. Awoniyi,F,9,183,3500,M,,359664,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,871344000,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايوو أونيي', 'hi': 'ताइवो अवोनीयी', 'bn': 'তাইও আওনিয়ি'}, 'shortNameTranslation': {'ar': 'ت. أونيي', 'hi': 'टी. अवोनीयी', 'bn': 'টি. আওনিয়ি'}}",21.0,14.0,,4.0,5.0,17.0,7.0,4.0,1.0,,,81.0,37.0,7.5,15.0,0.6727,0.9804,0.019492,"{'original': 7.5, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,10.0,1.0,,4.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,6.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,,
Moussa Niakhaté,,,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,niakhate,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",11.0,8.0,3.0,6.0,7.0,4.0,2.0,3.0,,,,33.0,12.0,6.6,3.0,0.0,0.0,0.0101791,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
Cheikhou Kouyaté,,,cheikhou-kouyate,C. Kouyaté,M,8,189,2612,M,,45944,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,630201600,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",7.0,4.0,,1.0,1.0,6.0,5.0,2.0,1.0,,,20.0,11.0,6.9,3.0,0.0,0.0,0.0212604,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,,,1.0,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,
Anthony Elanga,,,anthony-elanga,A. Elanga,M,20,178,10539,M,anthonyelanga,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",5.0,4.0,,,,6.0,2.0,,1.0,,,9.0,10.0,6.9,2.0,0.0152,0.0,0.00148192,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,4.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
Chris Wood,,,chris-wood,C. Wood,F,11,191,7744,M,wodsy39,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",8.0,4.0,,2.0,2.0,6.0,1.0,1.0,,,,9.0,11.0,6.8,5.0,0.0,0.0,0.0298565,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,2.0,1.0,4.0,,1.0,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,
Ethan Horvath,,,ethan-horvath,E. Horvath,G,24,194,402,M,,343013,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,802656000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان هورفاث', 'hi': 'एथन होर्वाथ', 'bn': 'ইথান হোরভাথ'}, 'shortNameTranslation': {'ar': 'إ. هورفاث', 'hi': 'ई. होर्वाथ', 'bn': 'ই. হোরভাথ'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Montiel,,,gonzalo-montiel,G. Montiel,D,4,175,9289,M,gonzalo_montiel29,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neco Williams,,,williams-neco,N. Williams,D,3,183,3163,M,,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remo Freuler,,,remo-freuler,R. Freuler,M,8,181,1944,M,,115516,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,703296000,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمو فريلر', 'hi': 'रेमो फ्र्यूलर', 'bn': 'রেমো ফ্রেউলার'}, 'shortNameTranslation': {'ar': 'ر. فريلر', 'hi': 'आर. फ्र्यूलर', 'bn': 'আর. ফ্রেউলার'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ui-Jo Hwang,,,ui-jo-hwang,U. Hwang,F,16,186,1052,M,,791314,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,714960000,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'وي-جو هوانغ', 'hi': 'उई-जो ह्वांग', 'bn': 'উই-জো হোয়াং'}, 'shortNameTranslation': {'ar': 'و. هوانغ', 'hi': 'यू. ह्वांग', 'bn': 'ইউ. হোয়াং'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
