name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAGoal,ownGoals,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,goalAssist,totalCross,accurateCross,totalContest,wonContest,bigChanceCreated,bigChanceMissed,shotOffTarget,expectedGoals,keyPass,challengeLost,dispossessed,outfielderBlock,wasFouled,onTargetScoringAttempt,blockedScoringAttempt,goals,expectedGoalsOnTarget,savedShotsFromInsideTheBox,saves,totalOffside
Michail Antonio,,,michail-antonio,M. Antonio,F,,180,3351,M,MichailAntonio,47772,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,638582400,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أنطونيو', 'hi': 'माइकल एंटोनियो', 'bn': 'মাইকেল আন্তোনিও'}, 'shortNameTranslation': {'ar': 'م. أنطونيو', 'hi': 'एम. एंटोनियो', 'bn': 'এম. আন্তোনিও'}}",13.0,8.0,1.0,,3.0,5.0,5.0,8.0,4.0,,,,75.0,37.0,6.3,21.0,0.00384834,"{'original': 6.3, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,9.0,4.0,,,,,7.0,1.0,,,,5.0,2.0,,1.0,1.0,1.198,,,4.0,,1.0,1.0,,1.0,0.5813,,,
Ben Johnson,,,ben-johnson,B. Johnson,D,18,182,653,M,,914412,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948672000,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن جونسون', 'hi': 'बेन जॉनसन', 'bn': 'বেন জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",36.0,30.0,2.0,,25.0,28.0,5.0,8.0,9.0,,,,45.0,47.0,6.4,10.0,0.0125593,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,3.0,2.0,,1.0,1.0,2.0,,,,,3.0,2.0,,,,,,1.0,,,,,,,,,,
Aaron Cresswell,,,aaron-cresswell,A. Cresswell,D,3,170,784,M,,43443,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,629683200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون كريسويل', 'hi': 'आरोन क्रेसवेल', 'bn': 'অ্যারন ক্রেসওয়েল'}, 'shortNameTranslation': {'ar': 'آ. كريسويل', 'hi': 'ए. क्रेसवेल', 'bn': 'এ. ক্রেসওয়েল'}}",39.0,32.0,4.0,,23.0,26.0,9.0,13.0,3.0,,,,45.0,48.0,6.4,7.0,0.0024741,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
Kalvin Phillips,,,kalvin-phillips,K. Phillips,M,44,177,7665,M,kalvinphillips,786028,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,817862400,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين فيليبس', 'hi': 'केल्विन फिलिप्स', 'bn': 'ক্যালভিন ফিলিপস'}, 'shortNameTranslation': {'ar': 'ك. فيليبس', 'hi': 'के. फिलिप्स', 'bn': 'কে. ফিলিপস'}}",14.0,12.0,1.0,1.0,9.0,9.0,3.0,5.0,3.0,,,,15.0,18.0,6.6,3.0,0.00351244,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,2.0,,,2.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
Danny Ings,,,danny-ings,D. Ings,F,9,178,1782,M,,130181,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,711849600,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني إنغز', 'hi': 'डैनी इंग्स', 'bn': 'ড্যানি ইঙ্গস'}, 'shortNameTranslation': {'ar': 'د. إنغز', 'hi': 'डी. इंग्स', 'bn': 'ডি. ইংস'}}",4.0,4.0,,,2.0,2.0,2.0,2.0,1.0,,,,15.0,8.0,6.5,1.0,0.00186988,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,3.0,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
Maxwel Cornet,,,maxwel-cornet,M. Cornet,F,70,179,1997,M,,280439,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,843782400,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسويل كورنيه', 'hi': 'मैक्सवेल कॉर्नेट', 'bn': 'ম্যাক্সওয়েল কর্নেট'}, 'shortNameTranslation': {'ar': 'م. كورنيه', 'hi': 'एम. कॉर्नेट', 'bn': 'এম. কর্নেট'}}",4.0,3.0,,,2.0,2.0,1.0,2.0,,,,,12.0,5.0,6.5,1.0,0.00101388,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Alphonse Aréola,,,alphonse-areola,A. Aréola,G,23,195,3093,M,,96531,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,730771200,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'hi': 'अल्फोंस एरियोला', 'bn': 'আলফোনস আরেওলা'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'hi': 'ए. एरियोला', 'bn': 'এ. আরেওলা'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaelan Casey,Kaelan Casey,,casey-kaelan,K. Casey,D,26,185,224,M,,1142343,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1098921600,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايلان كيسي', 'hi': 'केसी, केलान', 'bn': 'কেসি, কেলান'}, 'shortNameTranslation': {'ar': 'ك. كيسي', 'hi': 'के. केसि', 'bn': 'কে. কেসি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Orford,Lewis Orford,,orford-lewis,L. Orford,M,8,182,282,M,,1414991,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1140220800,"{'value': 430000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أورفورد، لويس', 'hi': 'ऑरफोर्ड, लुईस', 'bn': 'অরফোর্ড, লুইস'}, 'shortNameTranslation': {'ar': 'أ. لويس', 'hi': 'एल. ऑरफोर्ड', 'bn': 'এল. অরফোর্ড'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divin Mubama,,,mubama-divin,D. Mubama,F,9,183,2637,M,,1167025,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1098662400,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موباما، ديفين', 'hi': 'मुबामा, दिविन', 'bn': 'মুবামা, ডিভাইন'}, 'shortNameTranslation': {'ar': 'م. موباما', 'hi': 'डी. मुबामा', 'bn': 'ডি. মুবামা'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
