name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,errorLeadToAGoal,errorLeadToAShot,unsuccessfulTouch,fouls,aerialWon,outfielderBlock,totalContest,wonContest,wasFouled,totalCross,accurateCross,keyPass,goalAssist,bigChanceCreated,totalOffside,bigChanceMissed,onTargetScoringAttempt,goals,sofascoreId
Manor Solomon,,,manor-solomon,M. Solomon,M,6,167,4868,M,862223,"{'alpha2': 'IL', 'alpha3': 'ISR', 'name': 'Israel', 'slug': 'israel'}",EUR,932774400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانور سولومون', 'hi': 'मनोर सोलोमन', 'bn': 'মনোর সলোমন'}, 'shortNameTranslation': {'ar': 'م. سولومون', 'hi': 'एम. सोलोमन', 'bn': 'এম. সলোমন'}}",22.0,20.0,,,4.0,4.0,16.0,18.0,,2.0,,,,,68.0,37.0,8.4,6.0,0.1169,0.0,0.312919,"{'original': 8.4, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,5.0,,,,2.0,1.0,2.0,2.0,,,2.0,,,,5.0,3.0,,,,5.0,2.0,1.0,,,,,
Heung-min Son,,,heung-min-son,H. M. Son,F,7,184,126618,M,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",17.0,14.0,,,5.0,6.0,10.0,12.0,,2.0,,,,,72.0,27.0,9.2,5.0,1.1174,1.5596,0.0674035,"{'original': 9.2, 'alternative': 9.1}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,2.0,,1.0,,,2.0,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,3.0,3.0,HMSon
Ivan Perišić,,,ivan-perisic,I. Perišić,M,5,187,17688,M,38710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,602380800,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان بيريشيتش', 'hi': 'इवान पेरिसिच', 'bn': 'ইভান পেরিসিচ'}, 'shortNameTranslation': {'ar': 'إ. بيريسيتش', 'hi': 'आई. पेरिसिच', 'bn': 'আই. পেরিসিচ'}}",12.0,9.0,,,4.0,6.0,6.0,7.0,1.0,,,,,,22.0,17.0,6.8,4.0,0.0,0.0,0.027675,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,4.0,,,,,1.0,,,,,,,3.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,ivanperisic444
Pierre-Emile Højbjerg,,,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",16.0,15.0,2.0,2.0,8.0,9.0,7.0,7.0,1.0,,,,,,22.0,20.0,6.5,3.0,0.0,0.0,0.018201,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,hojbjerg23
Richarlison,,,richarlison,Richarlison,F,9,184,46727,M,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",3.0,2.0,1.0,,2.0,2.0,,1.0,,,,,,,18.0,7.0,6.5,2.0,0.0,0.0,3.306e-05,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,3.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,Richarlison
Emerson Royal,,,emerson-royal,E. Royal,D,22,183,9716,M,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",17.0,17.0,,,12.0,12.0,5.0,5.0,1.0,2.0,,,,,11.0,22.0,6.5,,0.0,0.0,0.00110586,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,2.0,,,,,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,emerson_royal
Oliver Skipp,,,skipp-oliver,O. Skipp,M,22,175,1368,M,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",7.0,6.0,,,4.0,4.0,2.0,3.0,,1.0,,,,,11.0,8.0,6.4,1.0,0.0,0.0,0.00117347,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraser Forster,,,fraser-forster,F. Forster,G,,201,1211,M,19314,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,574560000,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريزر فورستر', 'hi': 'फ्रेजर फोर्स्टर', 'bn': 'ফ্রেজার ফরস্টার'}, 'shortNameTranslation': {'ar': 'ف. فورستر', 'hi': 'एफ. फोर्स्टर', 'bn': 'এফ. ফরস্টার'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Davies,,,ben-davies,B. Davies,D,33,181,2694,M,94758,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,735609600,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بين ديفيز', 'hi': 'बेन डेविस', 'bn': 'বেন ডেভিস'}, 'shortNameTranslation': {'ar': 'ب. ديفيز', 'hi': 'बी. डेविस', 'bn': 'বি. ডেভিস'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Phillips,,,ashley-phillips,A. Phillips,D,26,192,1090,M,1134744,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1119744000,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أشلي فيليبس', 'hi': 'एश्ले फिलिप्स', 'bn': 'অ্যাশলে ফিলিপস'}, 'shortNameTranslation': {'ar': 'أ. فيليبس', 'hi': 'ए. फिलिप्स', 'bn': 'এ. ফিলিপস'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davinson Sánchez,,,davinson-sanchez,D. Sánchez,D,6,187,11997,M,566102,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834537600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافينسون سانشيز', 'hi': 'डेविंसन सांचेज़', 'bn': 'ডেভিনসন সানচেজ'}, 'shortNameTranslation': {'ar': 'د. سانشيز', 'hi': 'डी. सांचेज़', 'bn': 'ডি. সানচেজ'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAVINSON
