name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,penaltyFaced,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,aerialLost,aerialWon,duelLost,duelWon,totalContest,bigChanceCreated,onTargetScoringAttempt,goals,clearanceOffLine,outfielderBlock,interceptionWon,expectedGoals,expectedGoalsOnTarget,keyPass,shotOffTarget,totalTackle,penaltyConceded,fouls,wonContest,blockedScoringAttempt,wonTackle,sofascoreId,goalAssist,totalCross,challengeLost,dispossessed,bigChanceMissed,errorLeadToAShot,unsuccessfulTouch,wasFouled,accurateCross,lastName,totalOffside,savedShotsFromInsideTheBox,saves,penaltyWon
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173.0,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",6.0,3.0,1.0,,2.0,3.0,1.0,3.0,,2.0,,,,40.0,16.0,6.7,9.0,0.00026629,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,1.0,6.0,3.0,,,1.0,1.0,,,,0.7884,0.9889,,,1.0,,,,,1.0,bryan_m19,,,,3.0,,,3.0,1.0,,,,,,
Neal Maupay,neal-maupay,N. Maupay,F,9,171.0,2064,M,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",22.0,15.0,2.0,1.0,4.0,5.0,11.0,17.0,1.0,4.0,,,,90.0,29.0,6.8,7.0,0.0250456,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,2.0,4.0,3.0,1.0,,,,,,,0.3428,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176.0,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",3.0,3.0,,,,,3.0,3.0,,2.0,,,,50.0,9.0,6.5,1.0,0.00113977,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,4.0,,7.0,2.0,,,1.0,,,,1.0,0.1307,,,,1.0,,1.0,,,1.0,yowissa,,,1.0,1.0,,,,1.0,,,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170.0,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",9.0,5.0,,,1.0,1.0,4.0,8.0,,2.0,,,,45.0,13.0,6.6,4.0,0.00102835,"{'original': 6.6, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,1.0,2.0,2.0,,,,,,,1.0,0.0437,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180.0,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",19.0,14.0,4.0,2.0,6.0,7.0,8.0,12.0,,5.0,,,,21.0,29.0,6.9,7.0,0.00860429,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,3.0,6.0,4.0,,,,,,,,,,,3.0,,,2.0,,,,,,1.0,,,,,1.0,,,,,,
Myles Peart-Harris,myles-peart-harris,M. Peart-Harris,M,25,187.0,181,M,980649,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1032307200,"{'value': 875000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايلز بيرت-هاريس', 'hi': 'माइल्स पीयर्ट-हैरिस', 'bn': 'মাইলস পিয়ার্ট-হ্যারিস'}, 'shortNameTranslation': {'ar': 'م. بيرت-هاريس', 'hi': 'एम. पीयर्ट-हैरिस', 'bn': 'এম. পিয়ার্ট-হ্যারিস'}}",2.0,1.0,1.0,,,,1.0,3.0,,,,,,12.0,5.0,6.3,3.0,0.00086735,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,,4.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191.0,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189.0,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valintino Adedokun,val-adedokun,V. Adedokun,D,23,175.0,40,M,1127815,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1045180800,"{'value': 120000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فال أديديوكون', 'hi': 'वैल एडेडोकुन', 'bn': 'ভ্যাল আদেডোকুন'}, 'shortNameTranslation': {'ar': 'ف. أديديوكون', 'hi': 'वी. एडेडोकुन', 'bn': 'ভি. আদেদোকুন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Goode,charlie-goode,C. Goode,D,15,196.0,34,M,798933,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,807408000,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي جود', 'hi': 'चार्ली गुडे', 'bn': 'চার্লি গুড'}, 'shortNameTranslation': {'ar': 'ت. جود', 'hi': 'सी. गुडे', 'bn': 'সি. গুড'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Olakigbe,olakigbe-michael,M. Olakigbe,M,37,180.0,76,M,1014556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1082851200,"{'value': 535000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولاكيجبي، مايكل', 'hi': 'ओलाकिग्बे, माइकल', 'bn': 'ওলাকিগবে, মাইকেল'}, 'shortNameTranslation': {'ar': 'م. أولاكيجبي', 'hi': 'एम. ओलाकिग्बे', 'bn': 'এম. ওলাকিগবে'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
